inn;predpriyatie;vzyato;pochemu
7321316986;"ООО ""ЗАВОД ТЕХНОНИКОЛЬ-УЛЬЯНОВСК""";0;обойдено
4205003440;"АО ""КТК"" (ИНН 4205003440)";0;обойдено
0266008329;"ОАО ""Газпром нефтехим Салават""";0;обойдено
7118004789;"ОАО ""Щекиноазот""";78;обойдено
6314006396;"АО ""КНПЗ""";0;обойдено
6227007322;"АО ""РНПК""";0;обойдено
6665002150;АО КУМЗ;0;обойдено
7705581646;УК СОДРУЖЕСТВО;0;обойдено
3849096450;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС ИНЖИНИРИНГ СИСТЕМС""";800;обойдено
7720613388;АО ЗТЗ;0;обойдено
5907001774;ПАО НПОИСКРА;0;обойдено
3809003787;СибВАМИ;0;обойдено
4217168581;АЦ Гермес (ГКК);0;обойдено
7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";800;обойдено
5406323202;"АО ""ТГК-11""";162;обойдено
1433000147;"АК ""АЛРОСА"" (ПАО)";0;обойдено
5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";630;обойдено
7530000048;"ПАО ""ППГХО""";18;обойдено
1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";0;обойдено
7723006328;"АО ""ГАЗПРОМНЕФТЬ - МНПЗ""";0;обойдено
1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";260;обойдено
7705880068;Русский Уголь;0;обойдено
7730248021;"ООО ""ИСО""";0;обойдено
1650032058;КАМАЗ;0;обойдено
3006006420;"ООО ""ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ""";0;обойдено
1117000011;"АО ""Боксит Тимана""";72;обойдено
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";800;обойдено
6626002291;"ПАО ""СТЗ""";0;обойдено
1656025681;"ФКП ""КГКПЗ""";0;обойдено
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";0;обойдено
2221064060;"ООО ""БАРНАУЛЬСКИЙ ВОДОКАНАЛ""";0;обойдено
0277077282;"ООО ""БГК"" (ИНН 0277077282)";6;обойдено
5249002485;"ФКП ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА""";4;обойдено
9106001900;"АО ""СЗ""";700;обойдено
6629022962;"АО ""УЭХК""";800;обойдено
6615001962;"АО ""ЕВРАЗ КГОК""";0;обойдено
4312126856;"ООО ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";800;обойдено
1651025328;"АО ""ТАИФ-НК""";0;обойдено
7204095194;"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";0;обойдено
2465142996;"ООО ""РН-ВАНКОР""";0;обойдено
7422000795;"ФГУП ""ПО ""МАЯК""";150;обойдено
5919470019;"ОАО ""СМЗ"" (ИНН 5919470019)";800;обойдено
2903000446;"АО ""АРХАНГЕЛЬСКИЙ ЦБК"", АЦБК";14;обойдено
7449006184;ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЧЕЛЯБИНСКИЙ КУЗНЕЧНО-ПРЕССОВЫЙ ЗАВОД;800;обойдено
5001071638;"ООО ""КРИОГАЗ"" (ИНН 5001071638)";0;обойдено
5003063216;"ООО ""КРИОГАЗ СЕВЕРО-ЗАПАД""";0;обойдено
6310000160;"АО ""СМЗ"" (ИНН 6310000160)";406;обойдено
0268008010;"АО ""БСК""";0;обойдено
3528000597;"ПАО ""СЕВЕРСТАЛЬ""";106;обойдено
4823006703;"ПАО ""НЛМК""";298;обойдено
7414003633;"ПАО ""ММК""";8;обойдено
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";0;обойдено
3448046860;"ООО ""ПРАКСАЙР ВОЛГОГРАД""";0;обойдено
1651000041;"АО ""НИЖНЕКАМСКТЕХУГЛЕРОД""";0;обойдено
7709930344;"ООО ""ПРАКСАЙР АЗОТ ТОЛЬЯТТИ""";0;обойдено
7610052644;"ПАО""ОДК-Сатурн""";0;обойдено
5243000185;"ЗАО ""Арзамасский хлеб""";8;обойдено
7830001910;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКИЙ ЗАВОД""";800;обойдено
7703370008;"ПАО ""МЕЧЕЛ""";0;обойдено
5001000041;"АО ""ЛГР""";0;обойдено
4715022874;Пикалевская сода;12;обойдено
7327077188;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УЛЬЯНОВСКИЙ АВТОМОБИЛЬНЫЙ ЗАВОД;252;обойдено
7714572888;АОСТНГ;0;обойдено
1434045743;Эльгауголь;0;обойдено
5249105219;"АО ""КОРУНД-ЦИАН""";0;обойдено
1653006666;"МУП ""ВОДОКАНАЛ""";0;обойдено
1902025326;"ООО ""СКС""";238;обойдено
2012006949;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕЧЕНЦЕМЕНТ""";0;обойдено
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";796;обойдено
7703647595;"АО ""ОХК ""УРАЛХИМ""";15;обойдено
7721632827;"АО ""КОНЦЕРН РОСЭНЕРГОАТОМ""";569;обойдено
2902059091;"АО ""ПО ""СЕВМАШ""";800;обойдено
6623029538;"АО ""НПК ""Уралвагонзавод""";0;обойдено
0277014204;"ПАО ""УФАОРГСИНТЕЗ""";0;обойдено
1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";0;обойдено
3128005752;"АО ""ОЭМК ИМ. А.А. УГАРОВА""";0;обойдено
4253042369;"ООО ""ЭР ЛИКИД КУЗБАСС""";0;обойдено
1658087524;"ООО ""ЗАПСИБНЕФТЕХИМ""";0;обойдено
7729082090;МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ М.В.ЛОМОНОСОВА, МГУ ИМЕНИ М.В.ЛОМОНОСОВА, МОСКОВСКИЙ УНИВЕРСИТЕТ ИЛИ МГУ;4;обойдено
1101205461;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМИ ТЕПЛОВАЯ КОМПАНИЯ""";0;обойдено
6612006391;РУСАЛ Кремний Урал;0;обойдено
2536210349;"АО ""ЦСД""";0;обойдено
2460237901;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЗАРОВСКАЯ ГРЭС""";800;обойдено
3304000103;МУВКП;8;обойдено
5322015508;"ООО СТАРОРУССКОЕ ""ЖКХ""";0;обойдено
2453013555;"АО ""ПО ЭХЗ""";799;обойдено
6615015316;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ КАЧКАНАРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ""ГОРОДСКИЕ ЭНЕРГОСИСТЕМЫ""";466;обойдено
7701984274;"АО ""Мосводоканал""";786;обойдено
6315376946;"ПАО ""Т ПЛЮС""";800;обойдено
1434031363;"АО ""ДГК"" (ИНН 1434031363)";798;обойдено
3808229774;"ООО ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";12;обойдено
2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";4;обойдено
6451122250;"ООО ""САРАТОВОРГСИНТЕЗ""";742;обойдено
6320004728;"АО ""ТОАЗ""";0;обойдено
7116000066;"АО ""НАК ""АЗОТ""";0;обойдено
2303025270;"ООО ""ЕВРОХИМ-БМУ""";0;обойдено
3801009466;"АО ""АНХК""";0;обойдено
8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";0;обойдено
7722245108;"ООО ""МЕЧЕЛ-ЭНЕРГО""";0;обойдено
7424024375;"ПАО ""ЮГК""";0;обойдено
5920000593;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";0;обойдено
7839395419;"АО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";800;обойдено
5103070023;"АО ""АПАТИТ""";352;обойдено
8617002073;"ООО ""ГАЗПРОМ ТРАНСГАЗ СУРГУТ""";0;обойдено
8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";799;обойдено
5191431170;"АО ""КОЛЬСКАЯ ГМК""";0;обойдено
6325004584;"АО ""СНПЗ""";0;обойдено
8602067092;"ПАО ""ЮНИПРО""";0;обойдено
4221000535;"АО ""РУСАЛ НОВОКУЗНЕЦК""";0;обойдено
7840346335;"АО ""ГРУППА ""ИЛИМ""";104;обойдено
7117000076;"АО ""Пластик""";0;обойдено
5501023216;"АО ""ОМСКИЙ КАУЧУК""";0;обойдено
7728640182;"ООО ""ГАЗПРОМНЕФТЬ -СМ""";0;обойдено
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";0;обойдено
7415036215;"АО ""ЭнСер""";800;обойдено
6618000220;"ОАО ""Святогор""";12;обойдено
0269034133;"ООО ""Туймазинское ГПП""";0;обойдено
7716182080;"ООО ""ДИАЛЛ АЛЬЯНС""";0;обойдено
4205037640;"ООО ""ОФ ""Тайбинская""";0;обойдено
5452114972;"АО ""Ерофеев""";800;обойдено
3435900186;"АО ""ВТЗ""";0;обойдено
7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";0;обойдено
5321029508;"ПАО ""АКРОН""";14;обойдено
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";0;обойдено
5603045522;"ООО ""РН-БГПП""";0;обойдено
4633001577;"АО ""МИХАЙЛОВСКИЙ ГОК ИМ. А.В. ВАРИЧЕВА""";0;обойдено
6335007320;"АО ""ПРОМСИНТЕЗ""";286;обойдено
5036074848;"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""";0;обойдено
2457061920;"ООО ""НОРИЛЬСКИЙ ОБЕСПЕЧИВАЮЩИЙ КОМПЛЕКС""";0;обойдено
2465000141;"АО ""РУСАЛ КРАСНОЯРСК""";0;обойдено
4715030610;"ООО ""ПГЛЗ""";0;обойдено
4701000013;"АО ""РУСАЛ БОКСИТОГОРСК""";0;обойдено
4909095279;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УСТЬ-СРЕДНЕКАНГЭССТРОЙ""";800;обойдено
7701791321;"Общество с ограниченной ответственностью ""Совместная Компания ""РУСВЬЕТПЕТРО""";0;обойдено
4100000668;"ПАО ""КАМЧАТСКЭНЕРГО""";790;обойдено
5017046933;"МУП ""Истринская теплосеть""";0;обойдено
2536112729;"КГУП ""Примтеплоэнерго""";800;обойдено
4026000490;"МУП ГЭТ ""УКТ"" Г.КАЛУГИ";0;обойдено
3435900563;"АО ""ВОЛЖСКИЙ ОРГСИНТЕЗ""";0;обойдено
7702352454;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";799;обойдено
2902060361;"АО ""ЦС ""ЗВЕЗДОЧКА""";800;обойдено
4222010511;"ПАО ""ЮК ГРЭС""";0;обойдено
2607018122;"ПАО ""ОГК-2""";0;обойдено
7201000726;"АО ""ТРАНСНЕФТЬ - СИБИРЬ""";0;обойдено
7843003128;"АО ""КРОНШТАДТСКИЙ МОРСКОЙ ЗАВОД""";800;обойдено
7019035722;"АО ""ГАЗПРОМ ДОБЫЧА ТОМСК""";0;обойдено
1435117944;"Акционерное общество ""Сахаэнерго""";800;обойдено
3665046177;АО КБХА;2;обойдено
2503026908;"АО ""ДВЗ ""Звезда""";298;обойдено
0276178778;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ АВТОМОБИЛЬНОЕ ХОЗЯЙСТВО ПО УБОРКЕ ГОРОДА""";605;обойдено
5005038631;"МУП ""Белоозерское ЖКХ""";0;обойдено
0268000188;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СТЕРЛИТАМАКВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";418;обойдено
1103047637;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОРКУТИНСКИЙ ВОДОКАНАЛ"" МУНИЦИПАЛЬНОГО ОКРУГА ""ВОРКУТА"" РЕСПУБЛИКИ КОМИ";0;обойдено
5250043567;"ООО ""ЛУКОЙЛ-НИЖЕГОРОДНЕФТЕОРГСИНТЕЗ""";797;обойдено
2722010040;"АО ""ННК-ХАБАРОВСКИЙ НПЗ""";0;обойдено
1902014500;"АО ""РУСАЛ САЯНОГОРСК""";0;обойдено
5001000066;"АО ""КРИОГЕНМАШ""";0;обойдено
5906042295;"ООО ""ТЕПЛО-М""";0;обойдено
9701011913;"ООО ""ЗАРУБЕЖНЕФТЬ-ДОБЫЧА ХАРЬЯГА""";0;обойдено
4714004270;"ФГУП ""ФЭО""";800;обойдено
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";0;обойдено
3815011264;"ООО ""РУСАЛ ТАЙШЕТ""";0;обойдено
5911013780;"АО ""БСЗ"" (ИНН 5911013780)";0;обойдено
7705551779;"ООО ""РИ-ИНВЕСТ""";799;обойдено
5610218014;"ООО ""ГАЗПРОМНЕФТЬ-ОРЕНБУРГ""";0;обойдено
4345047310;"АО ""ВМП ""АВИТЕК""";0;обойдено
7302040242;"АО ""ГНЦ НИИАР""";214;обойдено
7805059786;"АО ""МЗ ""ПЕТРОСТАЛЬ""";90;обойдено
3801079671;"ООО""ТРАНСНЕФТЬ - ВОСТОК""";192;обойдено
4102009338;"АО ""СВРЦ""";0;обойдено
7327063643;"АО ""ТЕПЛИЧНОЕ""";0;обойдено
3202001147;"АО ""МАЛЬЦОВСКИЙ ПОРТЛАНДЦЕМЕНТ""";514;обойдено
5254001230;"ФГУП ""РФЯЦ - ВНИИЭФ""";52;обойдено
5503109356;"ООО ""ТГКом""";164;обойдено
7736186950;"ООО ""ГАЗПРОМ ЭНЕРГО""";0;обойдено
8901014564;"ООО ""ЯРГЕО""";0;обойдено
6673125685;"ООО ""ЮЖУРАЛМАШ""";0;обойдено
3834002314;"ПАО ""КОРШУНОВСКИЙ ГОК""";0;обойдено
0266040210;"ООО ""АКРИЛ САЛАВАТ""";0;обойдено
3127000014;"АО ""ЛЕБЕДИНСКИЙ ГОК""";0;обойдено
2723188252;"ООО ""Амурсталь""";0;обойдено
2224152758;"АО ""СГК-АЛТАЙ""";800;обойдено
4212002310;"ООО ""Сиб-Дамель""";0;обойдено
7721261080;"ГУП ""ЛПЗ""";0;обойдено
5024070944;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФИНАНСОВО-ПРОЕКТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ МОСКОВСКОЙ ОБЛАСТИ""";0;обойдено
5048052077;"МП ""ЖКХ Чеховского района""";0;обойдено
6623122216;"ООО ""ЯМЗ"" (ИНН 6623122216)";618;обойдено
5904081443;"ПЕРМСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКОЕ КОММУНАЛЬНОЕ И ТЕПЛОВОЕ ХОЗЯЙСТВО""";0;обойдено
5260123469;"ООО ""Завод синтанолов""";0;обойдено
0268004714;"АО ""СНХЗ""";0;обойдено
5905018998;"АО ""СИБУР-ХИМПРОМ""";0;обойдено
1627005779;"АО ""АММОНИЙ""";0;обойдено
5249051203;"АО ""СИБУР-НЕФТЕХИМ""";2;обойдено
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";0;обойдено
3445042160;"ООО ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД""";0;обойдено
4407006010;"ООО ""СВИСС КРОНО""";0;обойдено
2434012299;"ООО ""СОВРУДНИК""";0;обойдено
0274051582;"ПАО АНК ""БАШНЕФТЬ""";4;обойдено
4205000908;"КАО ""АЗОТ""";10;обойдено
5501041254;"АО ""ГАЗПРОМНЕФТЬ-ОНПЗ""";0;обойдено
1102024468;"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""";0;обойдено
6623000680;"ПАО ""ЕВРАЗ""";0;обойдено
6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК""";8;обойдено
6330017980;"АО ""ННК""";0;обойдено
2443000518;"АО ""АНПЗ ВНК""";0;обойдено
3448017919;"ООО ""ЛУКОЙЛ-ВОЛГОГРАДНЕФТЕПЕРЕРАБОТКА""";800;обойдено
3801046700;"АО ""АЗП""";0;обойдено
7206025040;"ООО ""СИБУР Тобольск""";0;обойдено
0268036071;"ОАО ""Синтез-Каучук""";0;обойдено
6451114900;"ПАО ""САРАТОВСКИЙ НПЗ""";0;обойдено
3627000397;"АО ""МИНУДОБРЕНИЯ""";0;обойдено
8913008332;"ООО ""ПУРНЕФТЕПЕРЕРАБОТКА""";0;обойдено
2205001753;"АО ""АЛТАЙ-КОКС""";0;обойдено
7101006354;"ООО ""Проктер энд Гэмбл-Новомосковск""";0;обойдено
1102057865;"ООО  ""ЛУКОЙЛ-УНП""";128;обойдено
5606001611;"ООО ""ММСК""";28;обойдено
5250051800;"ООО ""СИБУР-КСТОВО""";0;обойдено
3801072394;"ООО ""ААТЗ""";0;обойдено
1121003135;"АО ""СЛПК""";0;обойдено
2365004375;"ООО ""РН-ТУАПСИНСКИЙ НПЗ""";0;обойдено
3663002167;"АО ""ВОРОНЕЖСИНТЕЗКАУЧУК""";2;обойдено
4205072099;"ООО ""ХИМПРОМ""";0;обойдено
4219000048;"АО  ""ЦОФ ""Абашевская""""";0;обойдено
6623000708;"ОАО ""ВГОК"" (ИНН 6623000708)";0;обойдено
3814007314;"АО ""САЯНСКХИМПЛАСТ""";0;обойдено
6323106975;"ЗАО ""Тольяттисинтез""";0;обойдено
6627001318;"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""";2;обойдено
4218000253;"АО ""ЦОФ ""КУЗНЕЦКАЯ""";0;обойдено
4220023963;"ООО ""ШАХТА №12""";0;обойдено
6377005317;"АО ""НГПЗ""";0;обойдено
5905021239;"ОАО ""Минеральные удобрения""";0;обойдено
5020002781;"ОАО ""ГЕРКУЛЕС""";0;обойдено
1103019252;"АО ""Воркутауголь""";5;обойдено
3811185573;"ООО ""ИРКУТСКИЙ МАСЛОЖИРКОМБИНАТ""";0;обойдено
3528191736;"АО ""ФосАгро-Череповец""";0;обойдено
1648032420;"АО ""ПОЗИС""";0;обойдено
0275075378;"ООО ""Башнефть-Сервис НПЗ""";0;обойдено
7728060368;"ОАО ""КБК ""ЧЕРЕМУШКИ""";0;обойдено
5404037541;"ООО  ""ГОФ Анжерская""";0;обойдено
4221000133;"АО ""ЗАВОД УНИВЕРСАЛ""";0;обойдено
2426005202;"ООО ""БОГОЛЮБОВСКОЕ""";0;обойдено
5806003172;"АО ""БАШМАКОВСКИЙ ЭЛЕВАТОР""";0;обойдено
7718018279;"ОАО ""Мелькомбинат в Сокольниках""";0;обойдено
6142025298;"ООО ТУ ""Шолоховское""";0;обойдено
2426003607;"ООО ""НОВОАНГАРСКИЙ ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ""";120;обойдено
1627005000;"ООО ""МЕНДЕЛЕЕВСКАЗОТ""";0;обойдено
1316105019;"ОАО ""АПО Элеком""";0;обойдено
5214009264;"ООО ""МК ""Володарский""";2;обойдено
7718220196;"ООО ""ТОРГ-ИНВЕСТ""";0;обойдено
4632001366;"ОАО ""Курскхлеб""";0;обойдено
7810356819;"ООО ""ХЛЕБНЫЙ ДОМ""";0;обойдено
6628008965;"ЗАО ""ПО ""Режникель""";0;обойдено
7733338555;"ООО ""Сергиево-Посадский мукомольный комбинат""";0;обойдено
6829007922;"ООО ""ЗОЛОТАЯ НИВА"" (ИНН 6829007922)";0;обойдено
4218014305;"АО ""ОФ ""АНТОНОВСКАЯ""";0;обойдено
7721427433;"ООО ""МАРИЗЕРНОПРОДУКТ""";0;обойдено
5921002508;"ЗАО""ЧУСОВСКАЯ МЕЛЬНИЦА""";0;обойдено
3302000186;"ОАО ВКХ ""Мукомол""";0;обойдено
