nazvanie;inn;nazvanie_egrul;kpp;region;okved;status;rukovoditel;dolzhnost;kandidatov;pochemu
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 4 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО САРАТОВСКОЙ ОБЛАСТИ""";6445006174;ФКУ ИК-4 УФСИН РОССИИ ПО САРАТОВСКОЙ ОБЛАСТИ;644501001;Саратовская обл;14.12;ACTIVE;Сухоруков Анатолий Петрович;ВРЕМЕННО ИСПОЛНЯЮЩИЙ ОБЯЗАННОСТИ НАЧАЛЬНИКА;1;один кандидат
"МУП  ""ЛОКНЯНСКОЕ  ЖКХ""";6008002667;"МУП ""ЛОКНЯНСКОЕ ЖКХ""";600801001;Псковская обл;35.30.14;ACTIVE;Фёдоров Сергей Петрович;ДИРЕКТОР;1;один кандидат
"ООО ""ААЭМ""";5036083578;"ООО ""ААЭМ""";503601001;Московская обл;46.69.9;ACTIVE;Черепанов Александр Андреевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;3;несколько кандидатов, взят первый
АО   ТРАНСНЕФТЬ-ВЕРХНЯЯ ВОЛГА;5260900725;"АО ""ТРАНСНЕФТЬ - ВЕРХНЯЯ ВОЛГА""";526001001;Нижегородская обл;49.50.11;ACTIVE;Погодин Дмитрий Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;"отсеяно спутников: 4; один кандидат"
"ООО ""ВОДОКАНАЛ""";5919004850;"ООО ""ВОДОКАНАЛ""";591901001;Пермский край;36.00.1;ACTIVE;Мингазеев Игорь Гаптуллович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
"ООО ""ППТК""";7536157461;"ООО ""ППТК""";753601001;Забайкальский край;52.29;ACTIVE;Смоленкова Оксана Валерьевна;ДИРЕКТОР;5;несколько кандидатов, взят первый
"государственное (областное) учреждение ""Управление государственной противопожарной спасательной службы Липецкой области""";4826074733;"ОКУ ""УПРАВЛЕНИЕ ГПСС ЛИПЕЦКОЙ ОБЛАСТИ""";482601001;Липецкая обл;84.25.1;ACTIVE;Дорожинский Денис Викторович;НАЧАЛЬНИК;1;один кандидат
"ООО ""СИС""";7116502972;"ООО ""СИС""";711601001;Тульская обл;56.10;ACTIVE;Санфюлин Рифкат Ренадович;ДИРЕКТОР;5;несколько кандидатов, взят первый
"ГУП ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";7830000426;"ГУП ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";784201001;г Санкт-Петербург;37.00;ACTIVE;Пирогов Виталий Валентинович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СПЕЦИАЛЬНЫЙ ЛЕТНЫЙ ОТРЯД ""РОССИЯ"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ";7732537999;"ФГБУ ""СЛО ""РОССИЯ""";772901001;г Москва;51.10.2;ACTIVE;Терещенко Константин Эдуардович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛИЗАЦИОННОЕ ХОЗЯЙСТВО Г.БУЗУЛУКА""";5603011185;"МУП ""ВКХ""";560301001;Оренбургская обл;36.00.2;ACTIVE;Щербатов Владимир Васильевич;ДИРЕКТОР;1;один кандидат
"ООО ""СГТС""";7714429430;"ООО ""СГТС""";772901001;г Москва;52.24;ACTIVE;Плужников Алексей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
АДМИНИСТРАЦИЯ ЯКОВЛЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;6404004315;АДМИНИСТРАЦИЯ ЯКОВЛЕВСКОГО МО;640401001;Саратовская обл;84.11.31;ACTIVE;Тугушев Ринат Гаясович;ГЛАВА АДМИНИСТРАЦИИ;5;несколько кандидатов, взят первый
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""КУРЧАТОВСКИЙ ИНСТИТУТ""";7734111035;"НИЦ ""КУРЧАТОВСКИЙ ИНСТИТУТ""";773401001;г Москва;72.19.9;ACTIVE;Ковальчук Михаил Валентинович;ПРЕЗИДЕНТ;1;один кандидат
"АО ""ЭНЕРГОРЕМОНТ ПЛЮС""";7702721214;"АО ""ЭНЕРГОРЕМОНТ ПЛЮС""";502401001;Московская обл;35.11.1;ACTIVE;Трощилов Андрей Иванович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"МУП ""БОРОВИЧСКИЙ ВОДОКАНАЛ""";5320024546;"МУП ""БОРОВИЧСКИЙ ВОДОКАНАЛ""";532001001;Новгородская обл;36.00.1;ACTIVE;Сорокин Юрий Владимирович;ДИРЕКТОР;1;один кандидат
"АО ""РУСВЭЛЛГРУП""";;;;;;;;;;кандидатов нет
"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДА ОБНИНСКА КАЛУЖСКОЙ ОБЛАСТИ ""ВОДОКАНАЛ""";4025020084;"МП ""ВОДОКАНАЛ""";402501001;Калужская обл;36.00.1;LIQUIDATING;Горюнов Григорий Николаевич;ПРЕДСЕДАТЕЛЬ ЛИКВИДАЦИОННОЙ КОМИССИИ;1;один кандидат
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ИМЕНИ В.А. АЛМАЗОВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ";7802030429;"ФГБУ ""НМИЦ ИМ. В.А. АЛМАЗОВА"" МИНЗДРАВА РОССИИ";781401001;г Санкт-Петербург;86.10;ACTIVE;Шляхто Евгений Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"ООО ""ТРАНСНЕФТЬ - СЕРВИС""";2315149921;"ООО ""ТРАНСНЕФТЬ - СЕРВИС""";231501001;Краснодарский край;52.22.12;ACTIVE;Жаворонков Кирилл Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
БАНК РОССИИ;7702235133;БАНК РОССИИ;770201001;г Москва;64.11;ACTIVE;Набиуллина Эльвира Сахипзадовна;ПРЕДСЕДАТЕЛЬ БАНКА РОССИИ;4;"отсеяно спутников: 1; несколько кандидатов, взят первый"
"АО ""РИР ЭНЕРГО""";6829012680;"АО ""РИР ЭНЕРГО""";770601001;г Москва;35.30.11;ACTIVE;Сухотина Ксения Анатольевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
"АО ""ПО ЭХЗ""";2453013555;"АО ""ПО ЭХЗ""";245301001;Красноярский край;20.13;ACTIVE;Филимонов Сергей Васильевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АО ""ПЗЦМ"", АО ""ПРИОКСКИЙ ЗАВОД ЦВЕТНЫХ МЕТАЛЛОВ""";6226006397;"АО ""ПЗЦМ"", АО ""ПРИОКСКИЙ ЗАВОД ЦВЕТНЫХ МЕТАЛЛОВ""";622601001;Рязанская обл;24.41;ACTIVE;Малахов Игорь Витальевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;2;несколько кандидатов, взят первый
УПРАВЛЕНИЕ ПО МУНИЦИПАЛЬНЫМ ЗАКУПКАМ И РЕГУЛИРОВАНИЮ ТАРИФОВ АДМИНИСТРАЦИИ ГОРОДА УЛЬЯНОВСКА;7325096322;УПРАВЛЕНИЕ ПО МУНИЦИПАЛЬНЫМ ЗАКУПКАМ И РЕГУЛИРОВАНИЮ ТАРИФОВ АДМИНИСТРАЦИИ ГОРОДА УЛЬЯНОВСКА;732501001;Ульяновская обл;84.11.36;ACTIVE;Четверина Стелла Борисовна;НАЧАЛЬНИК УПРАВЛЕНИЯ ПО МУНИЦИПАЛЬНЫМ ЗАКУПКАМ И РЕГУЛИРОВАНИЮ ТАРИФОВ АДМИНИСТРАЦИИ ГОРОДА УЛЬЯНОВСКА;1;один кандидат
Калининская атомная станция;7721632827;"ФИЛИАЛ АО ""КОНЦЕРН РОСЭНЕРГОАТОМ"" ""КАЛИНИНСКАЯ АТОМНАЯ СТАНЦИЯ""";691643001;Тверская обл;;ACTIVE;;;2;несколько кандидатов, взят первый
Губарева Татьяна Николаевна;227900202339;ИП Губарева Татьяна Николаевна;;Алтайский край;52;LIQUIDATED;;;5;несколько кандидатов, взят первый
УПРАВЛЕНИЕ ЭКОНОМИКИ И ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ ГОРОДА КАЛУГИ;4027104445;УЭИО ГОРОДА КАЛУГИ;402701001;Калужская обл;84.11.35;ACTIVE;Евстратов Роман Михайлович;ЗАМЕСТИТЕЛЬ ГЛАВЫ ГОРОДСКОГО ОКРУГА ГОРОДА КАЛУГИ-НАЧАЛЬНИК УПРАВЛЕНИЯ;1;один кандидат
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 6 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО КУРГАНСКОЙ ОБЛАСТИ""";4510010250;ФКУ ИК-6 УФСИН РОССИИ ПО КУРГАНСКОЙ ОБЛАСТИ;451001001;Курганская обл;84.23.4;ACTIVE;Ноек Дмитрий Вячеславович;НАЧАЛЬНИК;1;один кандидат
"МУП ""БАЛАКОВО-ВОДОКАНАЛ""";6439053289;"МУП ""БАЛАКОВО-ВОДОКАНАЛ""";643901001;Саратовская обл;37.00;ACTIVE;Грищенко Константин Владимирович;ДИРЕКТОР;1;"отсеяно спутников: 1; один кандидат"
"АО  ""РУСАТОМ СЕРВИС""";;;;;;;;;;кандидатов нет
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УССУРИЙСКОЕ ПРЕДПРИЯТИЕ ТЕПЛОВЫХ СЕТЕЙ""";2511111265;"АО ""УПТС""";251101001;Приморский край;35.30.14;ACTIVE;Попов Олег Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 41 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО КЕМЕРОВСКОЙ ОБЛАСТИ - КУЗБАССУ""";4230006565;ФКУ ИК-41 ГУФСИН РОССИИ ПО КЕМЕРОВСКОЙ ОБЛАСТИ - КУЗБАССУ;423001001;Кемеровская область - Кузбасс;25.11;ACTIVE;Жиляков Дмитрий Александрович;НАЧАЛЬНИК;1;один кандидат
АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ АРКАДАКСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;6402002834;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ АРКАДАКСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;640201001;Саратовская обл;84.11.31;ACTIVE;Луньков Николай Николаевич;ГЛАВА АРКАДАКСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;5;несколько кандидатов, взят первый
"МУП ""ЖКХ ИРБИТСКОГО РАЙОНА""";6611014336;"МУП ""ЖКХ ИРБИТСКОГО РАЙОНА""";667601001;Свердловская обл;35.30.14;BANKRUPT;Протасова Ирина Александровна;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;1;один кандидат
АДМИНИСТРАЦИЯ КИРОВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;4706023857;"АДМИНИСТРАЦИЯ МО ""КИРОВСК""";470601001;Ленинградская обл;84.11.32;ACTIVE;Кротова Ольга Николаевна;ГЛАВА АДМИНИСТРАЦИИ;5;несколько кандидатов, взят первый
"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ЦИЛЬНИНСКИЙ РАЙОН"" УЛЬЯНОВСКОЙ ОБЛАСТИ";7322002654;"АДМИНИСТРАЦИЯ МО ""ЦИЛЬНИНСКИЙ РАЙОН""";732201001;Ульяновская обл;84.11.33;ACTIVE;Бабайкин Владимир Петрович;"ГЛАВА АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ЦИЛЬНИНСКИЙ РАЙОН"" УЛЬЯНОВСКОЙ ОБЛАСТИ";1;один кандидат
"АО ""ОКБМ АФРИКАНТОВ""";5259077666;"АО ""ОКБМ АФРИКАНТОВ""";525901001;Нижегородская обл;25.30.22;ACTIVE;Зверев Дмитрий Леонидович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР - ГЕНЕРАЛЬНЫЙ КОНСТРУКТОР;2;несколько кандидатов, взят первый
АО «Квадра»;7810683950;"АО ""КВАДРА ЛОДЖИК""";780401001;г Санкт-Петербург;71.12.12;ACTIVE;Ярыгин Алексей Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;4;несколько кандидатов, взят первый
"МКП Г.НЯГАНИ ""НРК""";8610009376;"МКП Г.НЯГАНИ ""НРК""";861001001;Ханты-Мансийский Автономный округ - Югра;35.30.14;ACTIVE;Сытников Захар Викторович;ДИРЕКТОР;1;один кандидат
"ФГАУ ""ОК ""ДАГОМЫС""";7704191019;"ФГАУ ""ОК ""ДАГОМЫС""";231801001;Краснодарский край;55.10;ACTIVE;Багдасарян Алексан Ванушевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
Лебедев Сергей Викторович;301806768528;ИП Лебедев Сергей Викторович;;Астраханская обл;45.20;ACTIVE;;;5;несколько кандидатов, взят первый
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОТРЯД ФЕДЕРАЛЬНОЙ ПРОТИВОПОЖАРНОЙ СЛУЖБЫ ПО ОРЛОВСКОЙ ОБЛАСТИ""";5753053628;"ФГКУ ""ОФПС ПО ОРЛОВСКОЙ ОБЛАСТИ""";575301001;Орловская обл;84.25.1;LIQUIDATED;Новиков Александр Александрович;ПРЕДСЕДАТЕЛЬ ЛИКВИДАЦИОННОЙ КОМИССИИ;1;один кандидат
"государственное (областное) бюджетное учреждение ""Управление государственной противопожарной спасательной службы Липецкой области""";;;;;;;;;;кандидатов нет
"ФЕДЕРАЛЬНОЕ  КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 2 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО РЕСПУБЛИКЕ БУРЯТИЯ""";0323109069;ФКУ ИК-2 УФСИН РОССИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ;032301001;Респ Бурятия;84.23.4;ACTIVE;Тютрин Вячеслав Владимирович;НАЧАЛЬНИК;1;один кандидат
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОГРАНИЧНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ БЕЗОПАСНОСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ПРИМОРСКОМУ КРАЮ""";2536164734;ПУ ФСБ РОССИИ ПО ПРИМОРСКОМУ КРАЮ;253601001;Приморский край;84.24;ACTIVE;Юдин Дмитрий Николаевич;НАЧАЛЬНИК;1;один кандидат
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 2 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ТОМСКОЙ ОБЛАСТИ""";7002008336;ФКУ ИК-2 УФСИН РОССИИ ПО ТОМСКОЙ ОБЛАСТИ;700201001;Томская обл;84.23.4;ACTIVE;Голубев Василий Викторович;НАЧАЛЬНИК;1;один кандидат
"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ПО ЗАКУПКАМ, ИМУЩЕСТВУ И ЗЕМЕЛЬНЫМ ОТНОШЕНИЯМ СУЗДАЛЬСКОГО РАЙОНА""";3310007097;"МКУ ""УЗИЗО СУЗДАЛЬСКОГО РАЙОНА""";331001001;Владимирская обл;68.32.2;ACTIVE;Ванина Мария Александровна;ДИРЕКТОР;1;один кандидат
АДМИНИСТРАЦИЯ АЛЕКСАНДРОВО-ГАЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;6401001764;АДМИНИСТРАЦИЯ АЛЕКСАНДРОВО-ГАЙСКОГО МР САРАТОВСКОЙ ОБЛАСТИ;640101001;Саратовская обл;84.11.33;ACTIVE;Зюзин Сергей Юрьевич;ГЛАВА АЛЕКСАНДРОВО-ГАЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;5;несколько кандидатов, взят первый
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЯЗАНСКОЙ ОБЛАСТИ ""ЦЕНТР ЗАКУПОК РЯЗАНСКОЙ ОБЛАСТИ""";6234151768;"ГКУ РО ""ЦЕНТР ЗАКУПОК РЯЗАНСКОЙ ОБЛАСТИ""";623001001;Рязанская обл;63.11.9;ACTIVE;Шураков Вадим Викторович;ДИРЕКТОР;1;один кандидат
ТУ РОСИМУЩЕСТВА В АМУРСКОЙ ОБЛАСТИ;2801150690;ТУ РОСИМУЩЕСТВА В АМУРСКОЙ ОБЛАСТИ;280101001;Амурская обл;84.11.13;ACTIVE;Суворова Светлана Александровна;РУКОВОДИТЕЛЬ;1;один кандидат
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ Н.Э. БАУМАНА (НАЦ";;;;;;;;;;кандидатов нет
АГЕНТСТВО ГОСУДАРСТВЕННЫХ ЗАКУПОК УЛЬЯНОВСКОЙ ОБЛАСТИ;7325169669;АГЕНТСТВО ГОСЗАКУПОК УЛЬЯНОВСКОЙ ОБЛАСТИ;732501001;Ульяновская обл;84.11.21;ACTIVE;Погорелова Инга Анатольевна;РУКОВОДИТЕЛЬ АГЕНТСТВА;1;один кандидат
"ООО ""Градиент""";7724774516;"ООО ""ГРАДИЕНТ""";772401001;г Москва;64.99.11;ACTIVE;Ярошенко Елена Анатольевна;Генеральный директор;5;несколько кандидатов, взят первый
"АО ""ВОДОКАНАЛ-ЧИТА""";7536064538;"АО ""ВОДОКАНАЛ-ЧИТА""";753601001;Забайкальский край;36.00.1;ACTIVE;Филиппова Наталья Николаевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
АДМИНИСТРАЦИЯ ВЕРХНЕБУРЕИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ХАБАРОВСКОГО КРАЯ;2710001482;АДМИНИСТРАЦИЯ ТСП;271001001;Хабаровский край;84.11.31;ACTIVE;Черепненко Александра Леонидовна;ГЛАВА ТЫРМИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;5;несколько кандидатов, взят первый
"ФКП ""АВАНГАРД""";0268005588;"ФКП ""АВАНГАРД""";026801001;Респ Башкортостан;25.40;ACTIVE;Логинов Дмитрий Олегович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;3;несколько кандидатов, взят первый
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 3 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ТОМСКОЙ ОБЛАСТИ""";7020035798;ФКУ ИК-3 УФСИН РОССИИ ПО ТОМСКОЙ ОБЛАСТИ;701701001;Томская обл;84.23.4;ACTIVE;Зайцев Геннадий Александрович;НАЧАЛЬНИК;1;один кандидат
"МУП ""УССУРИЙСК-ВОДОКАНАЛ""";2511040110;"МУП ""УССУРИЙСК-ВОДОКАНАЛ""";251101001;Приморский край;36.00.1;ACTIVE;Педан Руслан Михайлович;ДИРЕКТОР;2;"отсеяно спутников: 1; несколько кандидатов, взят первый"
"Администрация муниципального района ""Печора""";1105012781;"АДМИНИСТРАЦИЯ МР ""ПЕЧОРА""";110501001;Респ Коми;84.11.33;ACTIVE;Шутов Олег Иванович;"ГЛАВА МУНИЦИПАЛЬНОГО РАЙОНА ""ПЕЧОРА"" - РУКОВОДИТЕЛЬ АДМИНИСТРАЦИИ";1;один кандидат
Филиал АО «АЭМ-технологии» «Атоммаш» в г. Волгодонск;7817311895;"ПОЛНОЕ НАИМЕНОВАНИЕ: ВОЛГОДОНСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""ИНЖИНИРИНГОВАЯ КОМПАНИЯ ""АЭМ-ТЕХНОЛОГИИ"" СОКРАЩЕННОЕ НАИМЕНОВАНИЕ: ФИЛИАЛ АО ""АЭМ-ТЕХНОЛОГИИ"" ""АТОММАШ"" В Г.ВОЛГОДОНСК";614343001;Ростовская обл;;ACTIVE;;;1;один кандидат
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОЛОНИЯ-ПОСЕЛЕНИЕ № 37 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ПРИМОРСКОМУ КРАЮ""";2522010170;ФКУ КП-37 ГУФСИН РОССИИ ПО ПРИМОРСКОМУ КРАЮ;252201001;Приморский край;84.23.4;ACTIVE;Листровой Максим Владимирович;НАЧАЛЬНИК;1;один кандидат
"МУП ""ВКХ""";5701000368;"МПП ВКХ ""ОРЕЛВОДОКАНАЛ""";575301001;Орловская обл;36.00.1;ACTIVE;Иванов Василий Васильевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛЕДСТВЕННЫЙ ИЗОЛЯТОР № 4 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО АРХАНГЕЛЬСКОЙ ОБЛАСТИ""";2901073858;ФКУ СИЗО-4 УФСИН РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛАСТИ;290101001;Архангельская обл;84.23.4;ACTIVE;Антропов Александр Витальевич;НАЧАЛЬНИК;1;один кандидат
"ПАО ""НЗХК""";5410114184;"ПАО ""НЗХК""";541001001;Новосибирская обл;24.46;ACTIVE;Гохвайс Вячеслав Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;2;несколько кандидатов, взят первый
"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""БИЧУРСКИЙ РАЙОН"" РЕСПУБЛИКИ БУРЯТИЯ";;;;;;;;;;кандидатов нет
