klyuch;procedure_id;nomer;predmet;zakazchik;slug;inn;v_ocheredi;summa;data;sekciya;ssylka
компрессор;1263646;ГП430966;Закупка компрессора;АЛМА ПРОДАКШН;oooalma-prodakshn;2323026641;;0.0;2024-06-20;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/970971-zakupka-kompressora/
компрессор;615063;ГП146303;Компрессор У43102;СОЮЗМЕТАЛЛСЕРВИС;ooo-soyuzmetallservis;7802888337;да;0.0;2021-10-21;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/552403-kompressor-u43102/
компрессор;1278588;АП073626;Закупка компрессоров;"АО ""АЙСОРС""";ao-tsifrovye-zakupochnye-servisy;9706009675;да;0.0;2024-07-10;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/979502-zakupka-kompressorov/
компрессор;145250;ГП709579;Компрессор винтовой ;"АО ""ВМЗ""";ao-vyartsilskiy-metiznyy-zavod-1;1007008402;;;2017-09-12;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/114315-kompressor-vintovoy/
компрессор;1482853;ГП527503;"Компрессоры (КОМПРЕССОР; КОМПРЕССОР 505ГП-20/18 С ЭЛ/ДВ.; СИСТЕМА АВТОМАТИКИ КОМПРЕССОРА К-250; КОМПРЕССОР 2ГП-4/5 С ЭЛ.ДВИГАТЕЛЕМ; ГАЗООХЛАДИТЕЛЬ 3 СТУПЕНИ 3340283-03; МАСЛООХЛАДИТЕЛЬ Т/К 32ВЦ100/9 2.661.010)";ПАО ЧМК;pao-chelyabinskiy-metallurgicheskiy-kombinat;7450001007;;0.0;2025-03-13;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/1083115-kompressory-kompressor-kompressor-505gp-20-18-s-el-dv-sistema-avtomatiki-kompressora-k-250-kompressor-2gp-4-5-s-el-dvigatelem-gazo
компрессор;777423;ГП231804;Поставка компрессоров, ЗИП и материалов расходных к компрессорам;АО «ОТЭКО»;ao-oteko;7713321151;;0.0;2022-07-18;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/658918-postavka-kompressorov-zip-i-materialov-rashodnyh-k-kompressoram/
компрессор;1565133;ГП529863;Поставка винтового компрессора;"АО""ЗПП"", АО""ЗАВОД ПОЛУПРОВОДНИКОВЫХ ПРИБОРОВ""";ao-zavod-poluprovodnikovyh-priborov;1215085052;;0.0;2025-05-27;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/1122821-postavka-vintovogo-kompressora/
компрессор;517411;32110269090;поставка компрессора ;ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ВОЛГОГРАД;ooo-gazprom-gazoraspredelenie-volgograd;3455052505;;685264.03;2021-05-12;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/483148-postavka-kompressora/
компрессор;2003539;ГП631677;закупка воздушного компрессора и воздушного компрессора дожимающего;"АО ""КРИОГЕНМАШ""";pao-kriogenmash;5001000066;да;0.0;2026-07-22;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/1274024-zakupka-vozdushnogo-kompressora-i-vozdushnogo-kompressora-dozhimayuschego/
компрессор;1146362;32413200722;Поставка компрессоров;ГАУЗ СЛАВЯНСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА МЗ КК;gosudarstvennoe-avtonomnoe-uchrezhdenie-zdravoohraneniya-slavyanskaya-stomatologicheskaya-poliklinika-ministerstva-zdravoohraneniya-krasnodarskogo-kraya;2349024416;;199966.67;2024-01-22;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/899013-postavka-kompressorov/
компрессор;1242795;32413635817;Компрессоры прочие;ГУП ДНР РТК;gosudarstvennoe-unitarnoe-predpriyatie-donetskoy-narodnoy-respubliki-respublikanskaya-toplivnaya-kompaniya;9302006485;;8900000.0;2024-05-24;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/958964-kompressory-prochie/
компрессор;1150865;32413223134;Компрессор винтовой;"ООО ""ЭСК""";ooo-energosnabzhayuschaya-kompaniya;6673092454;;461545.95;2024-01-29;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/902206-kompressor-vintovoy/
компрессор;1308527;ГП444933;Запчасти на поршневой компрессор компрессор;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ooo-gazprom-neftehim-salavat;0266048970;да;0.0;2024-08-21;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/997664-zapchasti-na-porshnevoy-kompressor-kompressor/
компрессор;1174048;ГП450996;Воздушный компрессор;ПАО «Коршуновский ГОК»;pao-korshunovskiy-gorno-obogatitelnyy-kombinat;3834002314;да;0.0;2024-02-28;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/917301-vozdushnyy-kompressor/
компрессор;1213301;ГП440197;Воздушный компрессор;ПАО «Коршуновский ГОК»;pao-korshunovskiy-gorno-obogatitelnyy-kombinat;3834002314;да;0.0;2024-04-15;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/941424-vozdushnyy-kompressor/
компрессор;2000939;32616220872;Поставка винтового компрессора;Горводоканал;ooo-gorvodokanal;5836623790;да;1863790.0;2026-07-20;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/1273205-postavka-vintovogo-kompressora/
компрессор;548232;32110433342;Поставка компрессоров;АО ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ПЕРМЬ;ao-gazprom-gazoraspredelenie-perm;5902183841;;250449.0;2021-06-30;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/504664-postavka-kompressorov/
компрессор;1193625;32413417020;Поставка компрессоров;КВГ;ooo-kontsessii-vodosnabzheniya-gelendzhik;2304073741;да;691228.33;2024-03-22;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/929165-postavka-kompressorov/
компрессор;944396;32312257155;Закупка компрессора;МАУДО УЧЕБНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР МР МЕГИНО-КАНГАЛАССКИЙ УЛУС;munitsipalnoe-avtonomnoe-uchrezhdenie-dopolnitelnogo-obrazovaniya-uchebno-proizvodstvennyy-tsentr-munitsipalnogo-rayona-megino-kangalasskiy-ulus;1415007319;;90000.0;2023-04-05;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/769153-zakupka-kompressora/
компрессор;610992;32110731982;Поставка компрессоров;АО ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ КУРСК;ao-gazprom-gazoraspredelenie-kursk;4629015425;;291808.99;2021-10-15;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/549546-postavka-kompressorov/
компрессор;706135;32211246645;Поставка компрессоров;"ПАО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ УФА""";pao-gazprom-gazoraspredelenie-ufa;0278030985;;1055249.97;2022-03-23;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/615918-postavka-kompressorov/
компрессор;655950;32110965622;Поставка компрессоров;АО ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ПЕРМЬ;ao-gazprom-gazoraspredelenie-perm;5902183841;;944699.98;2021-12-20;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/578688-postavka-kompressorov/
компрессор;201955;ГП822996;КОМПРЕССОР МНЛЗ-1;"ПАО ""ЧМК""";pao-chelyabinskiy-metallurgicheskiy-kombinat;7450001007;;;2018-10-22;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/181820-kompressor-mnlz-1/
компрессор;557580;ГП131468;ЗИП для компрессоров;ИЗ-КАРТЭКС ИМЕНИ П.Г. КОРОБКОВА;ooo-iz-karteks-imeni-pgkorobkova;7817301375;;0.0;2021-07-16;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/511726-zip-dlya-kompressorov/
компрессор;1562061;ГП529589;Компрессор воздушный;"АО ""КРИОГЕНМАШ""";pao-kriogenmash;5001000066;да;0.0;2025-05-23;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/1121843-kompressor-vozdushnyy/
компрессор;1316399;ГП409835;Поставка (КОМПРЕССОР ВИНТОВОЙ);"АНО ВО ""УНИВЕРСИТЕТ ИННОПОЛИС""";avtonomnaya-nekommercheskaya-organizatsiya-vysshego-obrazovaniya-universitet-innopolis;1655258235;;0.0;2024-09-02;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/1002544-postavka-kompressor-vintovoy/
компрессор;554330;32110463356;Компрессор;АО ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ТУЛА;ao-gazprom-gazoraspredelenie-tula;7107029245;;1392647.0;2021-07-12;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/509276-kompressor/
компрессор;165722;ГП802671;Компрессор КТ-6;"ПАО ""ЧМК""";pao-chelyabinskiy-metallurgicheskiy-kombinat;7450001007;;;2018-02-08;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/137558-kompressor-kt-6/
компрессор;336156;32008939311;Поставка поршневого компрессора;ГАЗПРОМ ПЕРЕРАБОТКА;ooo-gazprom-pererabotka-1;1102054991;да;128800.0;2020-02-28;Закупки ГК «Газпром»;https://etpgpb.ru/procedure/tender/gaz/150417-postavka-porshnevogo-kompressora/
компрессор;323319;32008817897;"Поставка компрессора
";АО КОРПОРАЦИЯ ВНИИЭМ;aktsionernyoe-obschestvo-nauchno-proizvodstvennaya-korporatsiya-kosmicheskie-sistemy-monitoringa-informatsionno-upravlyayuschie-i-elektromehanicheskie-kompleksy-imeni-a-g-iosifyana;7701944514;;180779.74;2020-01-29;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/313557-postavka-kompressora/
компрессор;930282;ГП339347;Запчасти для компрессоров;ПАО НПОИСКРА;pao-nauchno-proizvodstvennoe-obedinenie-iskra;5907001774;да;0.0;2023-03-18;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/759708-zapchasti-dlya-kompressorov/
компрессор;486618;ГП127907;317/17.03.21/КО/Э Поставка компрессоров;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ooo-gazprom-neftehim-salavat;0266048970;да;99875.54;2021-03-17;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/459444-317-17-03-21-ko-e-postavka-kompressorov/
компрессор;904391;ГП314676;Компрессора К-2, К-3, ДЭН-37Ш;"АО ""БМК""";ao-beloretskiy-metallurgicheskiy-kombinat-1;0256006322;да;0.0;2023-02-10;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/742584-kompressora-k-2-k-3-den-37sh/
компрессор;339554;32008968408;Компрессор винтовой с комплектующими;АО РКЦ ПРОГРЕСС;ao-raketno-kosmicheskiy-tsentr-progress;6312139922;;1215157.56;2020-03-10;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/330410-kompressor-vintovoy-s-komplektuyuschimi/
компрессор;668738;32211060027;Поставка винтовых компрессоров;АО НПП КВАНТ;ao-nauchno-proizvodstvennoe-predpriyatie-kvant;7717585042;;523288.0;2022-01-24;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/590484-postavka-vintovyh-kompressorov/
компрессор;643556;32110895592;Поставка товара (Компрессоры);"АО ""НИЖЕГОРОДСКИЙ ВОДОКАНАЛ""";oao-nizhegorodskiy-vodokanal;5257086827;да;173593.35;2021-12-02;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/570622-postavka-tovara-kompressory/
компрессор;133981;31705195038;Поставка компрессора ФУ4А;АО 1019 ВРЗ;ao-1019-voennyy-remontnyy-zavod;0306229060;;3460000.0;2017-06-06;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/101313-postavka-kompressora-fu4a/
компрессор;966383;ГП305762;Компрессор ESC-50B;"АО ""БМК""";ao-beloretskiy-metallurgicheskiy-kombinat-1;0256006322;да;0.0;2023-05-05;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/784121-kompressor-esc-50b/
компрессор;297401;ГП911239;Компрессор КТ-6;"ПАО ""ЧМК""";pao-chelyabinskiy-metallurgicheskiy-kombinat;7450001007;;;2019-11-05;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/283971-kompressor-kt-6/
компрессор;1432206;ГП525191;Поставка компрессоров для системы пылеподавления.;"АО ""ВТУ""";ao-vaninotransugol;2709015787;;0.0;2025-01-21;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/1068381-postavka-kompressorov-dlya-sistemy-pylepodavleniya/
компрессор;797522;ГП244855;Компрессоры винтовые;АО «ОТЭКО»;ao-oteko;7713321151;;0.0;2022-08-23;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/671862-kompressory-vintovye/
компрессор;1910790;32615949546;Поставка дизельного компрессора;"ООО ""ЧТГ""";ooo-chernomortransgaz;9102297251;;3773460.0;2026-04-24;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/1244779-postavka-dizelnogo-kompressora/
компрессор;608315;32110718694;Поставка компрессора;АО ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ СЫКТЫВКАР;ao-gazprom-gazoraspredelenie-syktyvkar;1101300468;;76868.36;2021-10-12;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/547386-postavka-kompressora/
компрессор;1366629;32414153837;Дизельный компрессор;РКС-Тамбов;ooo-kontsessionnye-kommunalnye-sistemy;3661079069;;2019313.87;2024-11-01;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/1031308-dizelnyy-kompressor/
компрессор;186509;ГП807416;"Поставка компрессора для нужд ПАО ""Криогенмаш""";АО КРИОГЕНМАШ;pao-kriogenmash;5001000066;да;;2018-07-05;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/164859-postavka-kompressora-dlya-nuzhd-pao-kriogenmash/
компрессор;309425;ГП912608;Поставка компрессора, гидропневматической установки, мотопомпы;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;ooo-gazprom-neftehim-salavat;0266048970;да;369516.89;2019-12-05;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/297103-postavka-kompressora-gidropnevmaticheskoy-ustanovki-motopompy/
компрессор;425509;ГП070513;"1416/29.10.20/КО/Э	Поставка компрессоров
";"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ooo-gazprom-neftehim-salavat;0266048970;да;390861.06;2020-10-29;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/407468-1416-29-10-20-ko-e-postavka-kompressorov/
компрессор;216546;ГП901622;Закупка дизельных компрессоров;АОСТНГ;ao-stroytransneftegaz;7714572888;да;;2019-01-14;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/198773-zakupka-dizelnyh-kompressorov/
компрессор;460827;32109913104;Поставка компрессора;"ПАО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ УФА""";pao-gazprom-gazoraspredelenie-ufa;0278030985;;1184440.0;2021-01-21;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/438583-postavka-kompressora/
компрессор;691763;32211184762;Поставка компрессора;"АО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ КИРОВ""";ao-gazprom-gazoraspredelenie-kirov;4346006589;;2100000.0;2022-03-01;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/607997-postavka-kompressora/
компрессор;668160;32211057060;Поставка компрессора;"АО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ КИРОВ""";ao-gazprom-gazoraspredelenie-kirov;4346006589;;385200.0;2022-01-21;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/589974-postavka-kompressora/
компрессор;2003474;ГП631672;Закупка гелиевого компрессора;АО КРИОГЕНМАШ;pao-kriogenmash;5001000066;да;0.0;2026-07-22;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/1274009-zakupka-gelievogo-kompressora/
компрессор;505083;32110200935;Поставка компрессора передвижного;АО ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ПЕРМЬ;ao-gazprom-gazoraspredelenie-perm;5902183841;;968900.0;2021-04-16;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/473900-postavka-kompressora-peredvizhnogo/
компрессор;517451;32110269288;Поставка спиральных компрессоров;АО КМП;ao-kirovskoe-mashinostroitelnoe-predpriyatie;4345399055;;655128.0;2021-05-12;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/483179-postavka-spiralnyh-kompressorov/
компрессор;1287999;32413835070;Поставка компрессора спирального;"АО ""ПК ""АХТУБА""";ao-proizvodstvennyy-kompleks-ahtuba;3443048328;;197966.2;2024-07-24;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/985135-postavka-kompressora-spiralnogo/
компрессор;1281041;32413806772;Поставка поршневого компрессора;ГУП ЛНР ЛУГАНСКИЙ АВТОДОР;gosudarstvennoe-unitarnoe-predpriyatie-luganskoy-narodnoy-respubliki-luganskiy-avtodor;9402010710;;305496.0;2024-07-15;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/980837-postavka-porshnevogo-kompressora/
компрессор;1214658;32413509758;Поставка поршневого компрессора;"ФБУ ""КУЗБАССКИЙ ЦСМ""";federalnoe-byudzhetnoe-uchrezhdenie-gosudarstvennyy-regionalnyy-tsentr-standartizatsii-metrologii-i-ispytaniy-v-kemerovskoy-oblasti-kuzbasse;4207007095;;1266000.0;2024-04-16;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/942333-postavka-porshnevogo-kompressora/
компрессор;327745;ГП014649;Компрессор;АО КБСМ;ao-konstruktorskoe-byuro-spetsialnogo-mashinostroeniya;7802205799;;960.0;2020-02-10;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/318388-kompressor/
компрессор;1040287;ГП344628;Компрессор;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ooo-gazprom-neftehim-salavat;0266048970;да;0.0;2023-08-24;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/831722-kompressor/
компрессор;268675;31908120785;Поставка компрессора для нужд АО «ОмскВодоканал»;"АО ""ОМСКВОДОКАНАЛ""";ao-omskvodokanal;5504097128;да;399000.0;2019-07-22;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/253951-postavka-kompressora-dlya-nuzhd-ao-omskvodokanal/
компрессор;1695031;ГП522116;Закупка компрессоров AIRMAN;АО СГТ;ao-soyuzgidrotrans;7810969156;;0.0;2025-10-02;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/1171333-zakupka-kompressorov-airman/
компрессор;1840478;ГП638404;Поставка компрессоров KAESER;"АО ""ВТУ""";ao-vaninotransugol;2709015787;;0.0;2026-02-26;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/1222462-postavka-kompressorov-kaeser/
компрессор;511711;ГП164946;Заявка на закупку азотного компрессора Кавытка ;АО КРИОГЕНМАШ;pao-kriogenmash;5001000066;да;0.0;2021-04-27;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/479041-zayavka-na-zakupku-azotnogo-kompressora-kavytka/
компрессор;146712;ГП709934;Поставка компрессора воздуха КИПиА;АО КРИОГЕНМАШ;pao-kriogenmash;5001000066;да;;2017-09-15;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/115198-postavka-kompressora-vozduha-kipia/
компрессор;156334;ГП723991;Покупка компрессора для кузнечного производства;ДМЗ ИМ. Н.П.ФЕДОРОВА;oao-dubnenskiy-mashinostroitelnyy-zavod-imeni-npfedorova;5010030050;;;2017-11-24;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/126425-pokupka-kompressora-dlya-kuznechnogo-proizvodstva/
компрессор;269440;ГП931468;Поставка компрессоров и дизельных генераторов;АОСТНГ;ao-stroytransneftegaz;7714572888;да;;2019-07-24;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/254648-postavka-kompressorov-i-dizelnyh-generatorov/
компрессор;1532661;ГП540612;Зип для компрессоров;ИЗ-КАРТЭКС ИМЕНИ П.Г. КОРОБКОВА;ooo-iz-karteks-imeni-pgkorobkova;7817301375;;0.0;2025-04-24;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/1111717-zip-dlya-kompressorov/
компрессор;1195748;ГП451287;Поставка дизельного компрессора;АО СГТ;ao-soyuzgidrotrans;7810969156;;0.0;2024-03-26;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/930393-postavka-dizelnogo-kompressora/
компрессор;598180;ГП157056;683/25.09.21/ИНВ/КО/Э Поставка компрессоров;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ooo-gazprom-neftehim-salavat;0266048970;да;251728.8;2021-09-25;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/539856-683-25-09-21-inv-ko-e-postavka-kompressorov/
компрессор;1101914;32312974292;Поставка спиральных компрессоров;"ФГУП ""ГОСКОРПОРАЦИЯ ПО ОРВД""";fgup-gosudarstvennaya-korporatsiya-po-organizatsii-vozdushnogo-dvizheniya-v-rossiyskoy-federatsii;7734135124;;1654535.98;2023-11-17;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/869626-postavka-spiralnyh-kompressorov/
компрессор;1615122;ГП519730;"Закупка компрессора для нужд АО ""Криогенмаш""";"АО ""КРИОГЕНМАШ""";pao-kriogenmash;5001000066;да;0.0;2025-07-09;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/1140218-zakupka-kompressora-dlya-nuzhd-ao-kriogenmash/
компрессор;510510;32110230429;Поставка компрессора для дыхательных аппаратов;ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ БАРНАУЛ;ooo-gazprom-gazoraspredelenie-barnaul;2225184544;;220080.0;2021-04-26;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/478097-postavka-kompressora-dlya-dyhatelnyh-apparatov/
компрессор;492174;32110123810;Поставка погружного компрессора для КОС;"АО ""ЦЭНКИ""";ao-tsentr-ekspluatatsii-obektov-nazemnoy-kosmicheskoy-infrastruktury;9702013720;;529998.0;2021-03-25;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/463621-postavka-pogruzhnogo-kompressora-dlya-kos/
компрессор;305291;31908571071;Поставка компрессора передвижного;"ООО ""Газпром трансгаз Казань""";ooo-gazprom-transgaz-kazan;1600000036;;718926.0;2019-11-26;Закупки ГК «Газпром»;https://etpgpb.ru/procedure/tender/gaz/146217-postavka-kompressora-peredvizhnogo/
компрессор;1957534;ГП618869;Закупка компрессора и комплектующих;ГУП ДНР РТК;gosudarstvennoe-unitarnoe-predpriyatie-donetskoy-narodnoy-respubliki-respublikanskaya-toplivnaya-kompaniya;9302006485;;75289.0;2026-06-05;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/1259513-zakupka-kompressora-i-komplektuyuschih/
компрессор;223258;31907524291;"Запрос предложений в электронной форме по номенклатурной группе ""Компрессоры и компрессорные установки""";ГАЗЭНЕРГОИНФОРМ;ooo-gazenergoinform;7728696530;;104042.0;2019-02-13;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/206464-zapros-predlozheniy-v-elektronnoy-forme-po-nomenklaturnoy-gruppe-kompressory-i-kompressornye-ustanovki/
компрессор;323114;32008814976;"Запрос предложений в электронной форме по номенклатурной группе ""Компрессоры и компрессорные установки""";ГАЗЭНЕРГОИНФОРМ;ooo-gazenergoinform;7728696530;;130560.01;2020-01-29;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/312940-zapros-predlozheniy-v-elektronnoy-forme-po-nomenklaturnoy-gruppe-kompressory-i-kompressornye-ustanovki/
компрессор;324105;ГП037431;КОМПРЕССОР ДИЗЕЛЬНЫЙ ДВС  НА ШАССИ;"ПАО ""ЧМК""";pao-chelyabinskiy-metallurgicheskiy-kombinat;7450001007;;;2020-01-31;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/301041-kompressor-dizelnyy-dvs-na-shassi/
компрессор;1668314;ГП521382;Поставка компрессора AIRMAN PDSH850;АО СГТ;ao-soyuzgidrotrans;7810969156;;0.0;2025-09-05;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/1161691-postavka-kompressora-airman-pdsh850/
компрессор;145519;31705524525;Поставка воздушно-винтовых компрессоров с проведением пуско-наладочных работ;АО ММЗ АВАНГАРД;ao-moskovskiy-mashinostroitelnyy-zavod-avangard;7743065177;;29457.0;2017-09-14;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/115033-postavka-vozdushno-vintovyh-kompressorov-s-provedeniem-pusko-naladochnyh-rabot/
