inn;sayt;origin;kak;robots;kart_najdeno;adresov_v_kartah;menyu_ssylok;podoshlo;yazykovyh_kopiy;vzyato;otkuda_vzyato;pochemu
3528006408;https://www.cfmk.ru;https://www.cfmk.ru;обычно;есть;1;0;85;7;0;7;меню;обойдено
6606003385;https://www.uralelektromed.ru;https://www.uralelektromed.ru;обычно;есть;1;0;48;2;0;2;меню;обойдено
7743696750;https://grasys.ru;https://grasys.ru;обычно;есть;1;0;164;20;0;20;меню;обойдено
6665002150;https://kumz.ru;https://kumz.ru;обычно;нет;0;0;64;4;2;4;меню;обойдено
8603166755;https://sibur.ru;https://sibur.ru;обычно;есть;1;0;278;21;1;21;меню;обойдено
6685147531;https://spec-cement.ru;https://spec-cement.ru;обычно;нет;1;69;21;2;0;2;меню;обойдено
1651031226;https://precab.ru;https://precab.ru;обычно;есть;1;11;3;0;0;0;;обойдено
8905000428;https://nng.gazprom-neft.ru;https://nng.gazprom-neft.ru;обычно;есть;0;0;56;5;0;5;меню;обойдено
8602067092;https://unipro.energy;https://unipro.energy;обычно;есть;1;0;86;19;0;19;меню;обойдено
7453101232;https://chelindleasing.ru;https://chelindleasing.ru;обычно;есть;1;3399;0;110;0;40;карта;обойдено
1651057721;https://iplast.com;https://iplast.com;обычно;есть;1;1313;284;246;0;40;карта,меню;обойдено
7705183476;https://www.unirusgroup.ru;https://www.unirusgroup.ru;обычно;нет;0;0;22;1;0;1;меню;обойдено
3325011410;https://hfoods.ru;https://hfoods.ru;обычно;есть;0;0;28;5;0;5;меню;обойдено
4725001168;https://www.jacobsdouweegberts.com;https://www.jacobsdouweegberts.com;обычно;есть;1;60;15;39;0;39;карта,меню;обойдено
8603093017;http://uprt-nv.ru;https://uprtnv.top;обычно;есть;1;84;36;1;0;1;меню;обойдено
1674002165;https://www.youtube.com;https://www.youtube.com;обычно;есть;2;102266;12;75;0;40;карта,меню;обойдено
7802118578;http://www.heineken.ru;https://www.heineken.com;обычно;есть;68;766;31;5;0;5;карта;обойдено
9717088118;https://rte.ru;https://rte.ru;обычно;есть;0;0;35;4;0;4;меню;обойдено
2623026057;https://magnus-prom.ru;https://magnus-prom.ru;обычно;есть;1;885;60;419;0;40;карта,меню;обойдено
5103070023;https://www.phosagro.ru;https://www.phosagro.ru;обычно;есть;1;3479;5;3220;0;40;карта;обойдено
7708619320;https://uacrussia.ru;https://uacrussia.ru;без проверки сертификата;есть;1;0;118;21;1;21;меню;обойдено
7406002523;https://karmed.ru;https://karmed.ru;обычно;нет;0;0;1;0;0;0;;обойдено
1433000147;https://alrosa.ru;https://alrosa.ru;без проверки сертификата;есть;0;0;95;18;1;18;меню;обойдено
7202116628;https://sibur.ru;https://sibur.ru;обычно;есть;1;0;278;21;1;21;меню;обойдено
8703009509;https://goldpro.ru;https://goldpro.ru;обычно;есть;1;12;30;3;0;3;меню;обойдено
7707727918;https://www.uralmash-ngo.com;https://www.uralmash-ngo.com;обычно;есть;0;0;58;6;1;6;меню;обойдено
5607015014;https://akkermann.ru;https://akkermann.ru;обычно;есть;2;0;108;7;0;7;меню;обойдено
6607000556;https://vsmpo.ru;https://vsmpo.ru;обычно;есть;1;580;126;27;16;27;карта,меню;обойдено
7713748828;https://aspex.ru;https://aspex.ru;обычно;есть;1;177;203;66;25;40;карта,меню;обойдено
1654040701;https://maheev.ru;https://maheev.ru;обычно;есть;1;275;379;119;5;40;меню;обойдено
4345465597;https://safe-tec.ru;https://safe-tec.ru;обычно;есть;1;368;94;56;0;40;карта,меню;обойдено
6603014413;https://twinblock.ru;https://twinblock.ru;обычно;есть;1;108;106;6;0;6;карта,меню;обойдено
7447010227;https://www.chemk.ru;https://www.chemk.ru;обычно;есть;2;398;82;55;0;40;карта,меню;обойдено
6672326854;https://pnevmo.ru;https://pnevmo.ru;обычно;есть;1;15105;210;5221;0;40;карта;обойдено
2536314387;https://global-engineer.ru;https://global-engineer.ru;обычно;есть;6;79642;1242;13111;0;40;карта,меню;обойдено
6612001971;http://www.neywa.ru;http://www.neywa.ru;обычно;нет;0;0;0;0;0;0;;обойдено
5838013374;https://startatom.ru;https://startatom.ru;обычно;есть;1;0;75;12;0;12;меню;обойдено
6820018800;https://agrosoyuznsk.ru;https://agrosoyuznsk.ru;обычно;есть;1;512;415;407;0;40;карта,меню;обойдено
5406109142;https://www.ao-gns.ru;https://www.ao-gns.ru;обычно;есть;1;342;16;279;0;40;карта,меню;обойдено
0270011660;https://nicol-pack.ru;https://nicol-pack.ru;обычно;есть;0;0;75;21;0;21;меню;обойдено
7707375416;https://kirovpaper.com;https://kirovpaper.com;обычно;есть;1;60;78;6;31;6;меню;обойдено
6674153011;http://www.uralmz.ru;http://www.uralmz.ru;обычно;нет;0;0;0;0;0;0;;обойдено
7204001630;https://tyumen-battery.ru;https://tyumen-battery.ru;обычно;есть;1;0;256;2;0;2;меню;обойдено
6229047842;https://xn-----6kccajysqclvh3a6c5h.xn--p1ai;https://xn-----6kccajysqclvh3a6c5h.xn--p1ai;обычно;есть;2;103;74;1;0;1;карта;обойдено
6320005915;https://kuazot.ru;https://kuazot.ru;обычно;есть;1;0;229;7;0;7;меню;обойдено
4205064482;https://www.tokem.ru;https://www.tokem.ru;обычно;есть;1;500;46;27;43;27;карта,меню;обойдено
4906000960;https://polyus.com;https://polyus.com;обычно;есть;1;0;136;16;0;16;меню;обойдено
5606000223;https://uralelectro.ru;https://uralelectro.ru;обычно;есть;0;0;44;11;0;11;меню;обойдено
7536129954;https://rigservice.ru;https://rigservice.ru;обычно;есть;1;17;86;3;0;3;меню;обойдено
4501010984;https://emi-kurgan.ru;https://emi-kurgan.ru;обычно;есть;1;0;255;3;0;3;меню;обойдено
4501044849;https://pulsator-45.ru;https://pulsator-45.ru;обычно;есть;2;15;3;4;0;4;карта;обойдено
4318004484;https://mfzavod.com;https://mfzavod.com;обычно;есть;1;39;64;16;15;16;карта,меню;обойдено
5246020905;https://www.posuda.ru;https://www.posuda.ru;обычно;есть;1;75249;124;415;0;40;карта,меню;обойдено
6623105958;https://nsmz.pro;https://nsmz.pro;обычно;есть;2;196;29;43;1;40;карта,меню;обойдено
2464010490;https://kraspharma.ru;https://kraspharma.ru;обычно;есть;0;0;56;6;0;6;меню;обойдено
3802008546;https://polyus.com;https://polyus.com;обычно;есть;1;0;136;16;0;16;меню;обойдено
5040059680;https://aomapei.ru;https://aomapei.ru;обычно;есть;1;937;34;50;0;40;карта,меню;обойдено
5404271661;https://prom-ts.com;https://prom-ts.com;обычно;есть;1;289;122;41;0;40;карта,меню;обойдено
2223624670;https://gcblago.ru;https://gcblago.ru;обычно;есть;1;206;117;124;2;40;карта,меню;обойдено
7805368914;https://www.polymetal.ru;https://www.polymetal.ru;обычно;есть;2;99;0;12;20;12;карта;обойдено
7802732442;https://old.tf-tc.ru;https://old.tf-tc.ru;обычно;есть;1;694;22;40;0;40;карта,меню;обойдено
1327000226;https://rmrail.ru;https://rmrail.ru;обычно;есть;2;668;91;280;0;40;карта,меню;обойдено
7459004027;https://osteel.ru;https://osteel.ru;обычно;есть;1;115;124;60;0;40;карта,меню;обойдено
3128011788;https://sgok.nlmk.com;https://sgok.nlmk.com;обычно;есть;1;2;168;13;2;13;меню;обойдено
6664013880;https://uralhimmash.ru;https://uralhimmash.ru;обычно;есть;0;0;99;39;0;39;меню;обойдено
5918216877;https://lysvamk.ru;https://lysvamk.ru;обычно;есть;2;0;110;18;2;18;меню;обойдено
5030041780;https://cans.ru;https://cans.ru;обычно;есть;1;6;6;0;0;0;;обойдено
6025019903;https://reostat.ru;https://reostat.ru;обычно;есть;1;0;58;17;1;17;меню;обойдено
8608053875;https://knpos.ru;https://knpos.ru;обычно;есть;0;0;36;8;0;8;меню;обойдено
6627001318;https://sumz.umn.ru;https://sumz.umn.ru;обычно;есть;1;0;50;1;0;1;меню;обойдено
6652011944;https://azpt.ru;https://azpt.ru;обычно;есть;1;6;20;2;0;2;меню;обойдено
4720022460;https://mm-pof.ru;https://mm-pof.ru;обычно;есть;0;0;59;3;1;3;меню;обойдено
7014038550;https://www.ilmenite.ru;https://www.ilmenite.ru;обычно;есть;1;11;58;8;1;8;карта,меню;обойдено
5904199692;https://incab.ru;https://incab.ru;обычно;есть;1;0;48;6;0;6;меню;обойдено
6315376946;https://www.tplusgroup.ru;https://www.tplusgroup.ru;обычно;есть;0;0;126;15;0;15;меню;обойдено
7420005460;https://milk74.ru;https://milk74.ru;обычно;нет;0;0;18;4;0;4;меню;обойдено
6658084667;https://viz-steel.nlmk.com;https://viz-steel.nlmk.com;обычно;есть;1;0;220;14;1;14;меню;обойдено
5410039642;https://nmz-iskra.ru;https://nmz-iskra.ru;обычно;есть;1;2;3;0;0;0;;обойдено
5607019523;https://uralsteel.com;https://uralsteel.com;без проверки сертификата;есть;0;0;0;0;0;0;;обойдено
4501129676;https://kurganpribor.ru;https://kurganpribor.ru;обычно;нет;0;0;0;0;0;0;;обойдено
1658152572;https://monatgroup.ru;https://monatgroup.ru;обычно;есть;2;45;14;8;0;8;карта,меню;обойдено
4028001072;https://kgs.kaluga.ru;https://kgs.kaluga.ru;обычно;нет;0;0;0;0;0;0;;обойдено
7713085659;https://wbd.ru;https://wbd.ru;обычно;есть;0;0;13;0;0;0;;обойдено
4715019631;https://tvsz.ru;https://www.tvsz.ru;обычно;есть;0;0;45;15;0;15;меню;обойдено
7447141540;https://knauf.ru;https://www.knauf.ru;обычно;есть;2;820;184;55;0;40;карта,меню;обойдено
6310000160;https://smw.ru;https://www.smw.ru;обычно;есть;1;0;213;19;0;19;меню;обойдено
2706028675;https://golden-team.ru;https://golden-team.ru;обычно;есть;1;12;14;16;0;16;карта,меню;обойдено
4704052309;https://rwl.ru;https://rwl.ru;обычно;есть;3;1234;49;824;0;40;карта,меню;обойдено
7706613770;https://rosneft.ru;https://rosneft.ru;без проверки сертификата;нет;0;0;234;42;0;40;меню;обойдено
7802849641;https://baltika.ru;http://www.baltika.ru;обычно;нет;0;0;0;0;0;0;;обойдено
5607011852;https://metal-x.ru;https://metal-x.ru;обычно;есть;1;35;37;9;0;9;карта,меню;обойдено
2462004363;https://sibur.ru;https://sibur.ru;обычно;есть;1;0;278;21;1;21;меню;обойдено
5433188577;https://zti.ru;https://www.zti.ru;обычно;есть;1;250;85;4;0;4;карта,меню;обойдено
4216001565;https://kfw.ru;https://kfw.ru;обычно;нет;0;0;3;0;0;0;;обойдено
6632001031;https://sfap.ru;https://sfap.ru;обычно;нет;0;0;6;2;0;2;меню;обойдено
7452075043;https://chelyabinsk.jsprav.ru;https://chelyabinsk.jsprav.ru;обычно;есть;2;0;582;10;0;10;меню;обойдено
5604009196;https://rifar.ru;https://rifar.ru;обычно;есть;0;0;49;3;0;3;меню;обойдено
1646027023;https://sisecam.com;https://sisecam.com;обычно;нет;0;0;0;0;0;0;;обойдено
7705598512;https://ru.ceair.com;https://www.ceair.com;обычно;нет;0;0;0;0;0;0;;обойдено
1646031132;https://rosatom-composites.ru;https://rosatom-composites.ru;обычно;есть;1;18;74;7;0;7;карта,меню;обойдено
7435006346;https://rmk-group.ru;https://rmk-group.ru;обычно;есть;1;432;69;10;1;10;карта,меню;обойдено
7204205739;https://teo.ecotko.ru;https://teo.ecotko.ru;обычно;нет;0;0;133;22;0;22;меню;обойдено
5911029807;https://uralkali.com;https://www.uralkali.com;обычно;есть;1;278;118;129;0;40;карта,меню;обойдено
6664003916;https://psaonline.ru;https://psaonline.ru;без проверки сертификата;есть;1;5155;53;113;0;40;карта,меню;обойдено
5402194877;https://sib-gurman.ru;https://sib-gurman.ru;обычно;нет;0;0;0;0;0;0;;обойдено
4715026815;https://rshb.ru;https://www.rshb.ru;без проверки сертификата;есть;1;18;9;1;0;1;меню;обойдено
8901030855;https://slenergo.ru;https://www.slenergo.ru;обычно;есть;1;88;66;8;0;8;карта,меню;обойдено
6623005777;https://ucp.ru;https://ucp.ru;обычно;нет;0;0;7;0;0;0;;обойдено
6685148334;https://gotek.ru;https://gotek.ru;обычно;есть;1;581;108;213;263;40;карта,меню;обойдено
9705101614;https://lk.europlan.ru;https://sso.europlan.ru;обычно;нет;0;0;0;0;0;0;;обойдено
5403232532;https://novosibholod.ru;https://novosibholod.ru;обычно;есть;0;0;58;8;0;8;меню;обойдено
7447295501;https://vintkomplekt.ru;https://vintkomplekt.ru;без проверки сертификата;нет;0;0;0;0;0;0;;обойдено
7447208347;https://service-kit.ru;https://service-kit.ru;обычно;есть;1;57;22;7;0;7;карта,меню;обойдено
6623129116;https://scandipakk.com;https://scandipakk.com;обычно;нет;0;0;36;13;0;13;меню;обойдено
6315526630;https://samarabeer.ru;https://samarabeer.ru;обычно;нет;0;0;0;0;0;0;;обойдено
6663005798;https://uralmash-kartex.ru;https://uralmash-kartex.ru;обычно;нет;0;0;14;1;2;1;меню;обойдено
2465072918;https://skad.ru;https://skad.ru;обычно;есть;1;15315;390;27;0;27;карта,меню;обойдено
6674116330;https://sivar.ru;https://www.sivar.ru;обычно;есть;1;1;65;6;0;6;меню;обойдено
0277077282;https://bgkrb.ru;https://bgkrb.ru;обычно;есть;0;0;106;16;2;16;меню;обойдено
6611000252;https://ihfz.ru;https://ihfz.ru;без проверки сертификата;нет;0;0;0;0;0;0;;обойдено
1648041464;https://sokolov.ru;https://sokolov.ru;обычно;есть;1;34008;0;215;0;40;карта;обойдено
5921002018;https://auto.market.omk.ru;https://auto.market.omk.ru;обычно;есть;1;2003;47;142;0;40;карта,меню;обойдено
7838387574;https://posm-spb.ru;https://posm-spb.ru;обычно;нет;0;0;9;3;0;3;меню;обойдено
4214002316;https://raspadskaya.com;https://raspadskaya.com;обычно;есть;2;699;0;169;264;40;карта;обойдено
7708508323;https://omyalgol.com;https://omyalgol.com;обычно;есть;1;171;42;61;0;40;карта,меню;обойдено
6686054167;https://amertend.ru;https://amertend.ru;обычно;есть;1;1611;223;22;0;22;карта;обойдено
6652028306;https://uralgidromash.ru;https://uralgidromash.ru;обычно;нет;0;0;38;2;1;2;меню;обойдено
2454003302;https://segezha-group.com;https://segezha-group.com;обычно;есть;1;455;78;184;3;40;карта,меню;обойдено
6679069719;https://moscow.rival-laser.ru;https://moscow.rival-laser.ru;обычно;есть;1;430;154;97;0;40;карта,меню;обойдено
7017012254;https://sibagrogroup.ru;https://sibagrogroup.ru;обычно;есть;1;0;45;10;0;10;меню;обойдено
7536187339;https://zbk-service.ru;https://zbk-service.ru;обычно;есть;1;3;7;0;0;0;;обойдено
7708117908;https://cemros.ru;https://cemros.ru;обычно;есть;1;1634;173;1416;0;40;карта,меню;обойдено
6439010045;https://salnik.ru;https://salnik.ru;обычно;есть;1;408;125;32;0;32;карта,меню;обойдено
6664014650;https://elastika.ru;https://elastika.ru;обычно;есть;1;256;212;1;0;1;меню;обойдено
5408100057;https://isp.nsc.ru;https://isp.nsc.ru;без проверки сертификата;есть;0;0;95;20;1;20;меню;обойдено
6623039575;https://uralzp.ru;https://uralzp.ru;обычно;есть;2;69;36;4;0;4;карта,меню;обойдено
2463077325;https://aogm.ru;https://aogm.ru;обычно;есть;1;2493;38;1131;0;40;карта,меню;обойдено
7802475153;https://tk-ra.ru;https://www.tk-ra.ru;обычно;есть;0;0;54;2;0;2;меню;обойдено
4246018534;https://kdv-group.com;https://kdv-group.com;обычно;нет;0;0;54;0;1;0;;обойдено
6660091703;https://bitek-e.ru;https://bitek-e.ru;обычно;есть;1;41;110;3;0;3;карта,меню;обойдено
6629012040;https://medsintez.com;https://medsintez.com;обычно;есть;0;0;38;15;1;15;меню;обойдено
8602166294;https://sat-altai.ru;https://sat-altai.ru;обычно;есть;0;0;32;6;0;6;меню;обойдено
6608001915;https://vodokanalekb.ru;https://xn--80aadbki6adhshb.xn--p1ai;без проверки сертификата;есть;1;0;103;12;1;12;меню;обойдено
6626002291;https://stz.tmk-group.ru;https://stz.tmk-group.ru;обычно;нет;0;0;61;15;0;15;меню;обойдено
4220040912;https://szmk-nk.com;https://www.szmk-nk.com;обычно;есть;1;111;95;12;0;12;карта,меню;обойдено
7704781586;https://seturbo.ru;https://seturbo.ru;обычно;есть;1;354;120;19;0;19;карта,меню;обойдено
5011020537;https://saint-gobain.ru;https://saint-gobain.ru;обычно;есть;0;0;47;7;0;7;меню;обойдено
4501024105;https://znapitki.ru;https://znapitki.ru;обычно;есть;0;0;198;13;0;13;меню;обойдено
6605001321;https://ogneupory.ru;https://ogneupory.ru;обычно;есть;0;0;0;0;0;0;;обойдено
7724053916;https://protek.ru;https://protek.ru;обычно;нет;0;0;24;2;1;2;меню;обойдено
5020037784;https://redfinchnonalco.ru;https://redfinchnonalco.ru;обычно;есть;0;0;3;0;0;0;;обойдено
665812103395;https://eb.archive.org;https://archive.org;обычно;есть;1;100000;0;1051;0;40;карта;обойдено
6658019241;https://viz.ru;https://viz.ru;обычно;есть;3;0;131;8;1;8;меню;обойдено
6625021894;https://pervouralsk.polyplast-un.ru;https://pervouralsk.polyplast-un.ru;обычно;есть;1;0;52;6;0;6;меню;обойдено
9702044125;https://unimol.ru;https://unimol.ru;обычно;есть;2;26;12;1;0;1;меню;обойдено
5402054076;https://alutech-group.com;https://alutech-group.com;обычно;есть;10;17351;56;1446;0;40;карта,меню;обойдено
7203109158;https://resurs-complect.ru;https://resurs-complect.ru;обычно;есть;1;45;8;4;0;4;карта,меню;обойдено
2420008503;https://angarales.com;https://angarales.com;обычно;есть;1;0;12;2;0;2;меню;обойдено
5405172920;https://thermooptima.ru;https://thermooptima.ru;обычно;есть;1;11;21;2;0;2;меню;обойдено
0261003648;https://inman.ru;https://inman.ru;обычно;есть;1;220;36;176;0;40;карта,меню;обойдено
7704219345;https://esab.ru;https://esab.ru;обычно;нет;0;0;187;1;0;1;меню;обойдено
7224006227;https://pishma.ru;https://pishma.ru;обычно;есть;1;132;49;33;0;33;карта,меню;обойдено
7203162698;https://frwd.energy;https://frwd.energy;обычно;есть;1;0;14;2;0;2;меню;обойдено
6661044752;https://tmk-ngs.tmk-group.ru;https://tmk-ngs.tmk-group.ru;обычно;нет;0;0;49;15;0;15;меню;обойдено
6660000400;https://upz.ru;https://upz.ru;обычно;есть;2;80;54;25;0;25;карта,меню;обойдено
5405200166;https://elicatesse.ru;https://elicatesse.ru;обычно;нет;0;0;15;0;0;0;;обойдено
0814118403;https://sibserv.com;https://www.sibserv.com;обычно;есть;1;557;79;513;0;40;карта,меню;обойдено
2465043748;https://kramz-trade.ru;https://kramz-trade.ru;обычно;есть;0;0;4;0;0;0;;обойдено
6686062263;https://trapeza.ru;https://www.trapeza.ru;обычно;есть;1;76142;96;5;0;5;меню;обойдено
5606001611;https://56orb.ru;https://56orb.ru;обычно;есть;2;26851;37;26819;0;40;карта;обойдено
5902181202;https://permalko.ru;https://www.permalko.ru;обычно;есть;5;0;0;0;0;0;;обойдено
4212014972;https://carbo-zakk.ru;https://carbo-zakk.ru;обычно;есть;1;2;25;3;0;3;меню;обойдено
2225123485;https://essib.ru;https://essib.ru;обычно;нет;0;0;12;1;0;1;меню;обойдено
6672315362;https://uomz.com;http://xn--g1ajft.xn--p1ai;обычно;нет;0;0;0;0;0;0;;обойдено
7817332133;https://a-mikron.ru;https://a-mikron.ru;обычно;есть;1;65;11;2;0;2;карта,меню;обойдено
4508004235;https://zkm45.ru;https://zkm45.ru;обычно;есть;2;108;181;39;0;39;карта,меню;обойдено
6673130639;https://minplita-izba.ru;https://www.minplita-izba.ru;обычно;есть;1;159;67;17;0;17;карта,меню;обойдено
1645018033;https://plazma.ltd;https://plazma.ltd;обычно;есть;1;30;25;0;0;0;;обойдено
4506000010;https://zavod-start.ru;https://zavod-start.ru;обычно;есть;2;0;52;1;0;1;меню;обойдено
1832109347;https://avis-izh.ru;https://avis-izh.ru;обычно;есть;2;300;60;7;95;7;карта,меню;обойдено
7415075158;https://npkkalibr.ru;https://npkkalibr.ru;обычно;есть;1;10;31;1;0;1;меню;обойдено
5626008809;https://gayfa.ru;https://gayfa.ru;обычно;есть;1;0;31;5;0;5;меню;обойдено
5905099475;https://pnos.lukoil.ru;http://pnos.lukoil.ru;обычно;нет;0;0;0;0;0;0;;обойдено
5904007312;https://perm-motors.ru;https://perm-motors.ru;обычно;есть;0;0;120;14;1;14;меню;обойдено
5613000880;https://tmk-group.ru;https://www.tmk-group.ru;обычно;есть;0;0;149;22;0;22;меню;обойдено
6658078007;https://emauslugi.ru;https://emauslugi.ru;обычно;есть;1;141;95;98;0;40;карта,меню;обойдено
3321027747;https://generium.ru;https://www.generium.ru;обычно;есть;1;440;37;395;1;40;карта,меню;обойдено
5410079229;https://posever.ru;https://posever.ru;обычно;есть;1;0;91;2;1;2;меню;обойдено
4229004316;https://topkinsky.sibcem.ru;https://topkinsky.sibcem.ru;обычно;есть;1;246;17;184;0;40;карта,меню;обойдено
3124011000;https://parmalat.ru;https://parmalat.ru;обычно;есть;0;0;12;1;0;1;меню;обойдено
5911013211;https://meakir.ru;https://meakir.ru;обычно;есть;0;0;43;1;0;1;меню;обойдено
7204003683;https://tmnkhp.ru;https://tmnkhp.ru;обычно;есть;1;61;55;3;0;3;меню;обойдено
5408156204;https://gerkules.com;https://gerkules.com;обычно;есть;1;112;94;16;0;16;карта,меню;обойдено
6678093250;https://ironargument.com;https://ironargument.com;обычно;есть;1;30000;150;673;0;40;карта,меню;обойдено
6439000706;https://balakovgroupp.ru;https://balakovgroupp.ru;обычно;есть;2;19;15;1;0;1;меню;обойдено
5003022562;https://ildiglip.ru;https://ildiglip.ru;обычно;есть;1;9;14;1;0;1;меню;обойдено
3814018958;https://silex.ru;https://silex.ru;обычно;есть;1;255;44;11;0;11;карта,меню;обойдено
7719465590;https://bmandc.ru;https://bmandc.ru;обычно;есть;1;15;13;0;0;0;;обойдено
4253002711;https://sibir-energo.com;https://sibir-energo.com;обычно;есть;1;44;63;3;0;3;карта,меню;обойдено
1650371043;https://haieronline.ru;https://haieronline.ru;обычно;есть;1;1692;186;22;0;22;карта,меню;обойдено
6664002550;https://uralrti.ru;https://uralrti.ru;обычно;нет;1;0;62;0;0;0;;обойдено
8602303769;https://nordbear.su;https://www.nordbear.su;обычно;нет;1;9;2;0;0;0;;обойдено
5401365544;https://fish-express.ru;https://fish-express.ru;обычно;есть;0;0;73;26;0;26;меню;обойдено
6671317254;https://uzmk.org;https://uzmk.org;без проверки сертификата;есть;1;0;104;7;0;7;меню;обойдено
6659059688;https://xk3.ru;https://www.xk3.ru;обычно;есть;3;186;27;2;0;2;карта,меню;обойдено
3528215377;https://mehanik35.ru;https://mehanik35.ru;обычно;есть;1;2463;83;105;0;40;карта,меню;обойдено
6674368458;https://dobrogost-mpz.ru;https://dobrogost-mpz.ru;обычно;есть;1;218;21;16;0;16;карта,меню;обойдено
7816017139;https://formic.ru;https://formic.ru;обычно;есть;2;0;173;14;0;14;меню;обойдено
6671136956;https://remkom-service.ru;https://remkom-service.ru;обычно;есть;1;49;28;1;0;1;меню;обойдено
7842000607;https://delfoodgroup.com;https://delfoodgroup.com;обычно;есть;3;34;0;0;0;0;;обойдено
6670503272;https://grandios.ru;https://grandios.ru;обычно;есть;2;129;2;0;0;0;;обойдено
7816377614;https://danogips.ru;https://www.danogips.ru;обычно;есть;1;160;83;24;0;24;карта,меню;обойдено
7224008030;https://borfab.ru;https://borfab.ru;без проверки сертификата;нет;0;0;55;12;0;12;меню;обойдено
6679100694;https://ekoprozess.ru;https://ekoprozess.ru;обычно;есть;0;0;41;3;0;3;меню;обойдено
6685084514;https://glavxleb.ru;https://glavxleb.ru;обычно;есть;1;72;95;0;0;0;;обойдено
7203372409;https://absolutagro.com;https://absolutagro.com;обычно;есть;0;0;32;3;0;3;меню;обойдено
6432009756;https://kingsofa.ru;https://www.kingsofa.ru;без проверки сертификата;есть;0;0;17;0;0;0;;обойдено
6662001134;https://skhp-ural.ru;https://skhp-ural.ru;обычно;есть;2;5;6;0;0;0;;обойдено
5506200910;https://sm-5.ru;https://sm-5.ru;обычно;есть;1;98;59;7;0;7;карта,меню;обойдено
6633021880;https://talmoloko.ru;https://talmoloko.ru;обычно;нет;0;0;80;4;0;4;меню;обойдено
6664012780;https://meposgroup.ru;http://meposgroup.ru;без проверки сертификата;нет;0;0;0;0;0;0;;обойдено
5406305355;https://sibstek.ru;https://sibstek.ru;обычно;нет;0;0;4;0;0;0;;обойдено
4221011880;https://sibelectro.com;https://sibelectro.com;обычно;есть;1;129;25;5;0;5;меню;обойдено
5440102612;https://chrcrb.mznso.ru;https://chrcrb.mznso.ru;без проверки сертификата;нет;0;0;63;6;0;6;меню;обойдено
