inn;predpriyatie;sayt;itog;chem_podtverzhden;ssylka;citata;nazvanie_sovpalo;stranic_smotreli;kak
5433188577;"ООО ""ЗТИ СИБИРЬ""";https://www.zti.ru;не подтверждён;ни ИНН, ни названия;;;0 из 1;13;
7802118578;"ООО ""ОПХ""";null;не подтверждён;ни ИНН, ни названия;;;0 из 0;0;
3321005528;"АО ""ЛЕККО""";https://pharmstd.ru;не подтверждён;ни ИНН, ни названия;;;0 из 1;7;
4345465597;"ООО ПК ""КИРОВ ТАЙР""";https://prom.kirovreg.ru;не подтверждён;ни ИНН, ни названия;;;1 из 2;13;
6441025673;"ООО ""ЦЕМЕНТУМ ВОЛГА""";null;не подтверждён;ни ИНН, ни названия;;;0 из 2;0;
6673092045;"АО ""ОКБ ""НОВАТОР""";https://xn--c1atgl.xn--p1ai;не подтверждён;ни ИНН, ни названия;;;0 из 1;6;
5024160154;"ООО ""ЗТИ-М""";https://www.zti.ru;не подтверждён;ни ИНН, ни названия;;;0 из 1;13;
4216001565;"АО ""КФ""";https://crossfire.z8games.com;не подтверждён;ни ИНН, ни названия;;;0 из 0;6;
4631002737;"ОАО  ""ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА""";https://pharmstd.ru;не подтверждён;ни ИНН, ни названия;;;0 из 1;7;
1655283577;"ООО ""НАНОФАРМА ДЕВЕЛОПМЕНТ""";https://izvarino-pharma.ru;название совпало;только название, ИНН не найден;;;2 из 2;10;
7705739450;"ООО ""НЕСТЛЕ РОССИЯ""";https://www.nestle.ru;название совпало;только название, ИНН не найден;;;2 из 2;13;
6632001031;"АО ""СЗФ""";https://sfap.ru;не подтверждён;ни ИНН, ни названия;;;0 из 0;7;
5036074848;"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""";https://heidelbergcement.ru;не подтверждён;ни ИНН, ни названия;;;0 из 1;6;
7705598512;"ООО ""СИРИАЛ ПАРТНЕРС РУС""";https://www.ceair.com;не подтверждён;ни ИНН, ни названия;;;0 из 2;6;
1646031132;"ООО ""АЛАБУГА-ВОЛОКНО""";https://rosatom-composites.ru;не подтверждён;ни ИНН, ни названия;;;0 из 1;13;
6685126161;"ООО ""АРДЕНА""";https://arden.su;не подтверждён;ни ИНН, ни названия;;;0 из 1;6;
7448000013;"АО ""ЧЦЗ""";https://zinc.ru;подтверждён;ИНН на странице сайта;https://zinc.ru/contacts/rekvizity/;"вский тракт, 24 Телефон: (351) 799-00-00; (351) 799-00-09; Телефакс: (351) 799-00-65; ИНН 7448000013 КПП 997550001 р/сч 40702810602940000232 в ПАО ""МО";0 из 0;5;
6664006956;"АО ""ЗКИ""";https://uralceramica.ru;подтверждён;ИНН на странице сайта;https://uralceramica.ru/contacts/rekvizit;"�� �������&raquo; 620103, �. ������������, ��. ��������, �. 1 ��������� ��������� ���/��� 6664006956/667901001 ��������� ���� 40702810016120100525 ���";0 из 0;9;
7455010284;"ООО ""АЛЬКОР""";https://alikor.com;название совпало;только название, ИНН не найден;;;1 из 1;8;
6671097930;"ООО ""СТИЛ АРМОР""";https://vk.ru;не подтверждён;ни ИНН, ни названия;;;0 из 2;6;
1650157635;"ООО ""КАМАЗ-ЭНЕРГО""";https://new.kamaz-energo.ru;подтверждён;ИНН на странице сайта;https://new.kamaz-energo.ru/about/;"СТВЕННОСТЬЮ ""КАМАЗ-ЭНЕРГО"" Наименование организации (сокращенное): ООО ""КАМАЗ-ЭНЕРГО"" ИНН 1650157635 КПП 165001001 Основной государственный регистраци";1 из 1;2;
7805059867;"АО ""ПЕТЕРБУРГСКИЙ ТРАКТОРНЫЙ ЗАВОД""";https://kirovets-ptz.com;название совпало;только название, ИНН не найден;;;3 из 3;13;
7702583250;"ООО ""ЛЛК-ИНТЕРНЕШНЛ""";http://lukoil-masla.ru;название совпало;только название, ИНН не найден;;;1 из 1;13;
7435006346;"АО ""АГК""";https://xn--80agvc9a.xn--p1ai;не подтверждён;ни ИНН, ни названия;;;0 из 0;6;
7724729390;"ФБУ ""ФУ БХУХО""";https://vk.ru;не подтверждён;ни ИНН, ни названия;;;0 из 1;6;
8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";https://www.surgutneftegas.ru;название совпало;только название, ИНН не найден;;;1 из 1;13;
7204205739;"ООО ""ТЭО""";https://teo.ecotko.ru;не подтверждён;ни ИНН, ни названия;;;0 из 0;13;
4205081463;"ООО ""ТД ""СИБИРСКИЙ ЦЕМЕНТ""";https://www.sibcem.ru;название совпало;только название, ИНН не найден;;;2 из 2;13;
5911029807;"ПАО ""УРАЛКАЛИЙ""";https://www.uralkali.com;не подтверждён;ни ИНН, ни названия;;;0 из 1;13;
0270007455;"АО ""УЧАЛИНСКИЙ ГОК""";https://ugok.ru;не подтверждён;ни ИНН, ни названия;;;0 из 1;6;
7814370998;"ООО  ""ГИПЕРТЕХНОЛОДЖИ """;https://hyptec.ru;подтверждён;ИНН на странице сайта;https://hyptec.ru/;197374 Санкт-Петербург, Приморский проспект, д. 137 / корпус 2 / литера А, помещ 22-Н ИНН 7814370998 | ОГРН 1077847284646 Свяжитесь с нами Отправить з;1 из 1;1;
4221000630;"АО ""ОРГАНИКА""";https://organica-nk.ru;название совпало;только название, ИНН не найден;;;1 из 1;13;
5918218070;"ООО ""ГОРНОЗАВОДСКЦЕМЕНТ""";https://akkermann.ru;подтверждён;ИНН на странице сайта;https://akkermann.ru/bankovskie-rekvizity-i-dogovory/;03 ВОЛГО-ВЯТСКИЙ БАНК ПАО СБЕРБАНК г. Нижний Новгород Банк ПАО СБЕРБАНК БИК 042202603 ИНН 5918218070 КПП 591801001 ОГРН 1205900032106 ООО «АТАКАЙЦЕМЕН;1 из 1;4;
8603087285;"ООО ""ННПО""";https://nnpo.net;название совпало;только название, ИНН не найден;;;1 из 1;7;
6324079869;"ООО ""ЛАДА ФУД ТЕХНОЛОДЖИ""";https://xn--80ab3alkpp.xn--p1ai;название совпало;только название, ИНН не найден;;;2 из 2;6;
5916015580;"ООО ""МАСЛОЗАВОД НЫТВЕНСКИЙ""";https://nytva-maslo.ru;название совпало;только название, ИНН не найден;;;2 из 2;8;
6438007280;"ООО ""РУСАГРО-АТКАРСК""";https://ooogsm.pro;не подтверждён;ни ИНН, ни названия;;;0 из 1;7;
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";https://www.burgaz.ru;название совпало;только название, ИНН не найден;;;2 из 2;8;
6664003916;"АО ""НИЗМК""";https://xn--80acgfbsl1azdqr.xn--p1ai;не подтверждён;ни ИНН, ни названия;;;0 из 1;6;
7701568891;"ООО ""ГРК ""БЫСТРИНСКОЕ""";https://grkb.ru;название совпало;только название, ИНН не найден;;;1 из 1;10;
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";https://sibur.ru;название совпало;только название, ИНН не найден;;;1 из 1;13;
5402194877;"ООО ""СИБИРСКИЙ ГУРМАН - НОВОСИБИРСК""";https://vk.ru;не подтверждён;ни ИНН, ни названия;;;0 из 3;6;
6686095452;"ООО ""СИНЕРГИЯ""";https://synergy.ru;название совпало;только название, ИНН не найден;;;1 из 1;13;
5405125896;"ООО ""ИНТЕРПАК""";https://interpacknsk.ru;название совпало;только название, ИНН не найден;;;1 из 1;6;
6671156423;"ПАО ""ЭЛ5-ЭНЕРГО""";https://el5-energo.ru;подтверждён;ИНН на странице сайта;https://el5-energo.ru/;зования Связаться с нами Вакансии Подписаться © ПАО «ЭЛ5-Энерго» Все права защищены | ИНН 6671156423 English Разработка сайта — Desktop Icon Youtube I;1 из 1;1;
5905018998;"АО ""СИБУР-ХИМПРОМ""";https://sibur.ru;название совпало;только название, ИНН не найден;;;1 из 1;13;
4715026815;"ООО ""РСХ""";https://www.rshb.ru;не подтверждён;ни ИНН, ни названия;;;0 из 0;9;
3528006408;"АО ""ЧФМК""";https://www.cfmk.ru;название совпало;только название, ИНН не найден;;;1 из 1;6;
6606003385;"АО ""УРАЛЭЛЕКТРОМЕДЬ""";https://www.uralelektromed.ru;подтверждён;ИНН на странице сайта;https://www.uralelektromed.ru/about;равлению качеством пищевых добавок). Реквизиты Наименование АО «УРАЛЭЛЕКТРОМЕДЬ» ИНН/КПП: 6606003385/668601001 Предприятие имеет 3 производственные пл;1 из 1;2;
7743696750;"АО ""ГРАСИС""";https://grasys.ru;подтверждён;ИНН на странице сайта;https://grasys.ru/o-kompanii/sertifikaty-i-razresheniya/;"ве в СРО № 094 Скачать PDF; 0,5 МБ Свидетельство о допуске к проектированию № 094.11-2010-7743696750-П-027 Скачать PDF; 1,7 МБ Свидетельство о допуске";1 из 1;10;
6803629911;"ООО ""ТАМБОВСКИЙ БЕКОН""";https://ooogsm.pro;не подтверждён;ни ИНН, ни названия;;;0 из 2;7;
0271055557;"ООО ""АГАР""";https://aqara.ru;не подтверждён;ни ИНН, ни названия;;;0 из 1;6;
8901030855;"АО ""САЛЕХАРДЭНЕРГО""";https://www.slenergo.ru;не подтверждён;ни ИНН, ни названия;;;0 из 1;9;
6665002150;"АО ""КУМЗ""";https://kumz.ru;название совпало;только название, ИНН не найден;;;1 из 1;10;
8603166755;"ООО ""ЗАПСИБТРАНСГАЗ""";https://sibur.ru;название совпало;только название, ИНН не найден;;;1 из 1;13;
6685147531;"ООО ""СПЕЦЦЕМЕНТСЕРВИС""";https://spec-cement.ru;название совпало;только название, ИНН не найден;;;1 из 1;8;
1651031226;"ООО ""ПРЕКАБ""";https://precab.ru;название совпало;только название, ИНН не найден;;;1 из 1;6;
8905000428;"АО ""ГАЗПРОМНЕФТЬ-ННГ""";https://nng.gazprom-neft.ru;название совпало;только название, ИНН не найден;;;1 из 1;13;
6623005777;"ПАО ""УХП""";https://ucp.ru;не подтверждён;ни ИНН, ни названия;;;0 из 0;6;
6685148334;"ООО ""ГОТЭК-ПОЛИПАК АРАМИЛЬ""";https://gotek.ru;не подтверждён;ни ИНН, ни названия;;;1 из 2;13;
8602067092;"ПАО ""ЮНИПРО""";https://unipro.energy;название совпало;только название, ИНН не найден;;;1 из 1;13;
7453101232;"ООО ""ЧЕЛИНДЛИЗИНГ""";https://chelindleasing.ru;подтверждён;ИНН на странице сайта;https://chelindleasing.ru/investors/;"нская индустриальная лизинговая компания"" Сокращенное наименование ООО ""ЧелИндЛизинг"" ИНН 7453101232 КПП 745301001 ОГРН 1037403882141 ОКВЭД 65.21 ОКПО";1 из 1;2;
1651057721;"ООО ""АЙ-ПЛАСТ""";https://iplast.com;подтверждён;ИНН на странице сайта;https://iplast.com/;"t.com Подписаться на новости и акции &copy; 2026 Все права защищены. ООО «Ай-Пласт» / ИНН 1651057721 / ОГРН 1091651001749 Темная тема Светлая тема Пра";1 из 1;1;
7705183476;"ООО ""АРНЕСТ ЮНИРУСЬ""";https://www.unirusgroup.ru;название совпало;только название, ИНН не найден;;;2 из 2;10;
5401232181;"ООО ""СИБЭЛЕКТРОПРИВОД""";null;не подтверждён;ни ИНН, ни названия;;;0 из 1;0;
3325011410;"АО ""МИЛМОНД""";https://hfoods.ru;название совпало;только название, ИНН не найден;;;1 из 1;8;
7413000630;"АО ""КМЭЗ""";null;не подтверждён;ни ИНН, ни названия;;;0 из 1;0;
5103070023;"АО ""АПАТИТ""";https://www.phosagro.ru;название совпало;только название, ИНН не найден;;;1 из 1;9;обычно
4501129676;"АО "" НПО ""КУРГАНПРИБОР""";https://kurganpribor.ru;сайт не открылся;главная не открылась;;;0 из 1;0;обычно
3851004128;"ООО ""КНАУФ ГИПС БАЙКАЛ""";https://www.knauf.ru;не подтверждён;ни ИНН, ни названия;;;2 из 3;13;обычно
7707727918;"ООО ""УРАЛМАШ НГО ХОЛДИНГ""";https://www.uralmash-ngo.com;название совпало;только название, ИНН не найден;;;2 из 2;8;обычно
6310000160;"АО ""СМЗ""";https://www.smw.ru;не подтверждён;ни ИНН, ни названия;;;0 из 0;13;обычно
740400188249;ВОЛКОВ АЛЕКСЕЙ ЕВГЕНЬЕВИЧ;null;кандидата сайта нет;поиск не дал ни одного домена;;;0 из 3;0;сайт не открылся
6230051360;"ООО ""ЗАВОД ТЕХНО""";https://www.tn.ru;не подтверждён;ни ИНН, ни названия;;;1 из 2;13;обычно
5433188577;"ООО ""ЗТИ СИБИРЬ""";https://www.zti.ru;не подтверждён;ни ИНН, ни названия;;;0 из 1;13;обычно
7802118578;"ООО ""ОПХ""";null;кандидата сайта нет;поиск не дал ни одного домена;;;0 из 0;0;сайт не открылся
6441025673;"ООО ""ЦЕМЕНТУМ ВОЛГА""";null;кандидата сайта нет;поиск не дал ни одного домена;;;0 из 2;0;сайт не открылся
6673092045;"АО ""ОКБ ""НОВАТОР""";https://xn--c1atgl.xn--p1ai;не подтверждён;ни ИНН, ни названия;;;0 из 1;6;обычно
5024160154;"ООО ""ЗТИ-М""";https://www.zti.ru;не подтверждён;ни ИНН, ни названия;;;0 из 1;13;обычно
7705739450;"ООО ""НЕСТЛЕ РОССИЯ""";https://www.nestle.ru;название совпало;только название, ИНН не найден;;;2 из 2;13;обычно
7705598512;"ООО ""СИРИАЛ ПАРТНЕРС РУС""";https://www.ceair.com;не подтверждён;ни ИНН, ни названия;;;0 из 2;6;обычно
1650157635;"ООО ""КАМАЗ-ЭНЕРГО""";https://new.kamaz-energo.ru;подтверждён;ИНН на странице сайта;https://new.kamaz-energo.ru/about/;"СТВЕННОСТЬЮ ""КАМАЗ-ЭНЕРГО"" Наименование организации (сокращенное): ООО ""КАМАЗ-ЭНЕРГО"" ИНН 1650157635 КПП 165001001 Основной государственный регистраци";1 из 1;2;обычно
7702583250;"ООО ""ЛЛК-ИНТЕРНЕШНЛ""";http://lukoil-masla.ru;название совпало;только название, ИНН не найден;;;1 из 1;13;обычно
7435006346;"АО ""АГК""";https://xn--80agvc9a.xn--p1ai;не подтверждён;ни ИНН, ни названия;;;0 из 0;6;обычно
8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";https://www.surgutneftegas.ru;название совпало;только название, ИНН не найден;;;1 из 1;13;обычно
4205081463;"ООО ""ТД ""СИБИРСКИЙ ЦЕМЕНТ""";https://www.sibcem.ru;название совпало;только название, ИНН не найден;;;2 из 2;13;обычно
5911029807;"ПАО ""УРАЛКАЛИЙ""";https://www.uralkali.com;не подтверждён;ни ИНН, ни названия;;;0 из 1;13;обычно
